software_role_gap_id,asset_id,product_name,role,unresolved_public_label,reason,evidence_url,reviewed_at
SRG-00001,LCA-SW-0002,Brightway,operator/maintainer,Brightway developers,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://docs.brightway.dev/en/latest/,2026-09-01
SRG-00002,LCA-SW-0002,Brightway,owner,Brightway developer community,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://docs.brightway.dev/en/latest/,2026-09-01
SRG-00003,LCA-SW-0006,Lavoisier,operator/maintainer,Lavoisier project maintainers,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://github.com/JosePauloSavioli/Lavoisier,2026-09-01
SRG-00004,LCA-SW-0006,Lavoisier,owner,Lavoisier open-source project developed at GYRO/UTFPR with IBICT support,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://github.com/JosePauloSavioli/Lavoisier,2026-09-01
SRG-00005,LCA-SW-0008,HESTIA Calculation Models,operator/maintainer,HESTIA modelling team and contributors,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://www.hestia.earth/docs,2026-09-01
SRG-00006,LCA-SW-0010,LCA as Code,owner,LCA as Code project/provider,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://lca-as-code.com/,2026-09-01
SRG-00007,LCA-SW-0011,LCAx toolkit,operator/maintainer,LCAx contributors,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://docs.lcax.org/,2026-09-01
SRG-00008,LCA-SW-0011,LCAx toolkit,owner,LCAx open-source project / OCNI-DTU contributors,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://docs.lcax.org/,2026-09-01
SRG-00009,LCA-SW-0013,soda4LCA,owner,soda4LCA open-source project,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://soda4lca.io/,2026-09-01
SRG-00010,LCA-SW-0014,premise,owner,premise open-source project / polca contributors,"The prior record contains a public label, but this review did not resolve it to an evidence-linked actor for this role.",https://premise.readthedocs.io/en/latest/,2026-09-01
