software_record_id,asset_id,product_name,product_type,primary_function_id,primary_function,functional_capabilities,capabilities_original,unresolved_capability_labels,source_software_class,market_scope_status,owner,developer,operator_maintainer,actor_role_summary,role_assertion_count,unresolved_role_label_count,role_resolution_status,sector_scope,geographic_coverage,standard_associations,standard_association_basis,ecoinvent_directory_status,lifecycle_status,access_model,official_product_url,discovery_source,evidence_urls,confidence_level,classification_basis,reviewed_at
SWR-0001,LCA-SW-0001,SimaPro desktop edition,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,One Click LCA Oy Ltd,PRé Sustainability B.V.,SimaPro B.V.,One Click LCA Oy Ltd (owner); PRé Sustainability B.V. (developer); SimaPro B.V. (operator/maintainer),3,0,Evidence-linked actors resolved,Cross-sector LCA modelling,Global user base claimed by provider,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Commercial software plans; product information publicly accessible,https://simapro.com/software/desktop/,ecoinvent software tools partner directory,https://simapro.com/software/desktop/ ; https://support.simapro.com/en/articles/504757-release-notes-simapro-desktop ; https://support.simapro.com/en/collections/968883-simapro-desktop ; https://simapro.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0002,LCA-SW-0002,Brightway,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability; Environmental data and calculation models,LCA; Data exchange / conversion; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,,Chris Mutel,,Chris Mutel (developer),1,2,Partial actor resolution,Cross-sector computational LCA,Global,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active documentation and community,Public open-source software and documentation,https://docs.brightway.dev/en/latest/,ecoinvent software tools partner directory,https://docs.brightway.dev/en/latest/ ; https://support.ecoinvent.org/ecospold2 ; https://documentation.brightway.dev/en/latest/index.html ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0003,LCA-SW-0003,openLCA,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability; Environmental data and calculation models,LCA; Data exchange / conversion; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,GreenDelta GmbH,GreenDelta GmbH,GreenDelta GmbH,GreenDelta GmbH (owner); GreenDelta GmbH (developer); GreenDelta GmbH (operator/maintainer),3,0,Evidence-linked actors resolved,Cross-sector LCA and sustainability modelling,Global,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Free software download and public source code,https://www.openlca.org/,ecoinvent software tools partner directory,https://www.openlca.org/ ; https://www.openlca.org/about/ ; https://www.openlca.org/features/ ; https://www.openlca.org/download/ ; https://www.lcacommons.gov/flcac-resources ; https://nexus.openlca.org/ws/files/35296 ; https://greendelta.github.io/openLCA2-manual/resources/nexus.html ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0004,LCA-SW-0004,One Click LCA,Sector-specific workflow application,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; EPD and environmental reporting; Environmental data and calculation models,LCA; EPD workflow; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,One Click LCA Oy Ltd,One Click LCA Oy Ltd,One Click LCA Oy Ltd,One Click LCA Oy Ltd (owner); One Click LCA Oy Ltd (developer); One Click LCA Oy Ltd (operator/maintainer),3,0,Evidence-linked actors resolved,"Construction, infrastructure and manufacturing",Global; provider states users in 170+ countries,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active; public release notes,Commercial plans and account-based trials,https://oneclicklca.com/en-us/,ecoinvent software tools partner directory,https://oneclicklca.com/en-us/ ; https://oneclicklca.com/en-us/company/about-us ; Not publicly confirmed ; https://oneclicklca.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0005,LCA-SW-0005,Sphera LCA for Experts,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,Qualifying PCF/LCA product or interoperability solution,"Sphera Solutions, Inc.","Sphera Solutions, Inc.","Sphera Solutions, Inc.","Sphera Solutions, Inc. (owner); Sphera Solutions, Inc. (developer); Sphera Solutions, Inc. (operator/maintainer)",3,0,Evidence-linked actors resolved,Cross-sector product and corporate LCA,Global commercial product,,,Listed in ecoinvent software tools directory at the evidence cut-off,Active,Commercial software; trial/account workflows,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/,ecoinvent software tools partner directory,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/ ; Not publicly confirmed ; https://sphera.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0006,LCA-SW-0007,R&D GREET,Sector-specific workflow application,SF-05,Data and systems integration,Environmental data and calculation models,Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",U.S. Department of Energy,Argonne National Laboratory,Argonne National Laboratory,U.S. Department of Energy (owner); Argonne National Laboratory (developer); Argonne National Laboratory (operator/maintainer),3,0,Evidence-linked actors resolved,"Vehicles, fuels, chemicals, materials and energy systems",United States focus with many international technology pathways,,,,Active annual releases,Public model downloads in Excel and .NET forms,https://www.energy.gov/cmei/rd-greet-life-cycle-assessment-model,Prior Global LCA Asset inventory,https://www.energy.gov/cmei/rd-greet-life-cycle-assessment-model ; https://www.energy.gov/cmei/greet ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0007,LCA-SW-0008,HESTIA Calculation Models,"API, library, or calculation model",SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Environmental data and calculation models,LCA; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",University of Oxford,University of Oxford,,University of Oxford (owner); University of Oxford (developer),2,1,Partial actor resolution,Agricultural and food-production cycles,Global modelling scope,,,,Active open-source project,Open-source packages and self-hosted Community Edition,https://www.hestia.earth/docs,Prior Global LCA Asset inventory,https://www.hestia.earth/docs ; https://www.hestia.earth/releases ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0008,LCA-SW-0009,Ecochain LCA automation software,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; Product carbon footprint calculation,LCA; PCF calculation,,,Qualifying PCF/LCA product or interoperability solution,Ecochain Technologies B.V.,Ecochain Technologies B.V.,Ecochain Technologies B.V.,Ecochain Technologies B.V. (owner); Ecochain Technologies B.V. (developer); Ecochain Technologies B.V. (operator/maintainer),3,0,Evidence-linked actors resolved,Cross-sector manufacturing and product portfolios,Global commercial use,WBCSD Partnership for Carbon Transparency (PACT) Technical Specifications — PACT Network directory listing,Authoritative network directory provenance,Listed in ecoinvent software tools directory at the evidence cut-off,Active with 2026 release notes,Commercial subscription and free trial,https://ecochain.com/product/,WBCSD PACT Network solution directory; ecoinvent software tools partner directory,https://ecochain.com/product/ ; https://helpcenter.ecochain.com/en/articles/9221283-mobius-release-notes ; Not publicly confirmed ; https://ecochain.com/mobius/ ; https://www.carbon-transparency.org/solutions/ecochain ; https://www.carbon-transparency.org/network ; https://ecochain.com/ ; https://ecoinvent.org/partners/?category=software-tools,High,Curated semantic alignment of the 2026-09-01 software-market review,2026-09-01
SWR-0009,LCA-SW-0010,LCA as Code,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability; Environmental data and calculation models,LCA; Data exchange / conversion; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Kleis Technology,Kleis Technology,Kleis Technology (developer); Kleis Technology (operator/maintainer),2,1,Partial actor resolution,Cross-sector LCA models,Global technical scope,,,,Active public product/download page,Free functional JetBrains plugin; demo/contact for broader deployment,https://lca-as-code.com/,Prior Global LCA Asset inventory,https://lca-as-code.com/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0010,LCA-SW-0011,LCAx toolkit,"API, library, or calculation model",SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; EPD and environmental reporting; PCF data exchange and interoperability; API and enterprise integration; Environmental data and calculation models,LCA; EPD workflow; Data exchange / conversion; API / developer tooling; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Christian Kongsgaard,,Christian Kongsgaard (developer),1,2,Partial actor resolution,Building and construction LCA,Global technical scope,,,,Active,Public source and documentation,https://docs.lcax.org/,Prior Global LCA Asset inventory,https://docs.lcax.org/ ; https://github.com/ocni-dtu/lcax ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0011,LCA-SW-0012,LCIA Formatter,"API, library, or calculation model",SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability,LCA; Data exchange / conversion,,,"Existing broader LCA/PCF software, API, model, or workflow asset",U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,Federal LCA Commons,U.S. Environmental Protection Agency (owner); U.S. Environmental Protection Agency (developer); Federal LCA Commons (operator/maintainer),3,0,Evidence-linked actors resolved,Cross-sector LCIA methods,Global method content with US federal reference-flow implementation,,,,Active operational ecosystem component,Public source repository and generated public methods,https://github.com/FLCAC-admin/LCIAformatter,Prior Global LCA Asset inventory,https://github.com/FLCAC-admin/LCIAformatter ; https://www.lcacommons.gov/lca-collaboration/Federal_LCA_Commons/ReCiPe ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0012,LCA-SW-0013,soda4LCA,Software application or platform,SF-01,LCA/PCF modelling and calculation,Life cycle assessment modelling; PCF data exchange and interoperability,LCA; Data exchange / conversion,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Oliver Kusche Research & Consulting (OKWorx),Oliver Kusche Research & Consulting (OKWorx),Oliver Kusche Research & Consulting (OKWorx) (developer); Oliver Kusche Research & Consulting (OKWorx) (operator/maintainer),2,1,Partial actor resolution,Cross-sector LCI and LCIA datasets,Global technical scope,,,,Active open-source/service project,Public source concept and operated-node services; node policies vary,https://soda4lca.io/,Prior Global LCA Asset inventory,https://soda4lca.io/ ; https://data.probas.umweltbundesamt.de/ ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
SWR-0013,LCA-SW-0014,premise,Data exchange or interoperability service,SF-02,PCF data exchange and interoperability,PCF data exchange and interoperability; Environmental data and calculation models,Data exchange / conversion; Domain calculation model,,,"Existing broader LCA/PCF software, API, model, or workflow asset",,Paul Scherrer Institute; Potsdam Institute for Climate Impact Research,Paul Scherrer Institute,Paul Scherrer Institute (developer); Potsdam Institute for Climate Impact Research (developer); Paul Scherrer Institute (operator/maintainer),3,1,Partial actor resolution,"Energy, transport, fuels, industry and other mapped sectors",Global IAM scenarios and ecoinvent geography,,,,Active,Public source/Python package; ecoinvent licence and some IAM scenario keys are separate dependencies,https://premise.readthedocs.io/en/latest/,Prior Global LCA Asset inventory,https://premise.readthedocs.io/en/latest/ ; https://github.com/polca/premise ; https://premise.readthedocs.io/en/latest/introduction.html ; Not publicly confirmed,High,Curated semantic alignment of the existing evidence-linked software record,2026-09-01
