search_stream_id,discovery_stream,geography,languages,sector_asset_class,public_source_types,status,result_evidence_signal,negative_or_gap_outcome,coverage_implication,next_search_action,last_searched
SRC-0001,Questionnaire leads,Global / self-reported network,Mixed; mainly English,All asset classes,Questionnaire URLs followed to public pages,Completed for current cut-off,210 staged questionnaire/supplement leads resolved,Not a representative sample,Discovery source only; cannot support a global denominator,Retain correction route and recheck time-sensitive facts,2026-08-22
SRC-0002,Stakeholder organisations,Global network,Mixed; homepage-led,Organisations as asset leads,Public organisation homepages,Completed first pass,270 rows screened; 127 public homepages reviewed; 20 assets promoted,108 rows had no website; 24 attempted pages not reviewable,Substantial source-network and web-visibility bias remains,Ask regional experts for missing organisations and offline assets,2026-08-22
SRC-0003,Global infrastructure and catalogues,Global,English,"Networks, repositories, software catalogues",Official registry/catalogue pages,First pass completed,Major global and national infrastructure hubs linked,No authoritative worldwide database register found,"Supports lower-bound inventory, not exhaustive count",Repeat with multilingual and country-specific registries,2026-08-22
SRC-0004,Europe country and programme searches,Europe / EU,"English, French, German, Italian","National LCI, EPD, construction, food","Government, EC/JRC, programme operators",Partial; comparatively strong,Many national/programme assets identified,Uneven depth between countries and local languages,Country-by-country search with national experts,2026-08-22,
SRC-0005,China,China,Chinese and English,"National LCI, platforms, tools",Official holder pages and public documentation,Second targeted pass completed,"TianGong, HiQLCD and CLCD captured",Current CLCD package/version/licence details remain account/provider-specific,China coverage materially improved; still not a census,Search sector-specific Chinese LCI families and archived technical releases,2026-08-22
SRC-0006,Japan,Japan,Japanese and English,National LCI and software,Official associations and provider pages,Partial,AIST-IDEA and JLCA captured,Membership/commercial access limits public verification,"Japanese release histories, formats and software compatibility",2026-08-22,
SRC-0007,Latin America and Ibero-America,Latin America,Spanish and Portuguese,National databases and networks,"Official networks, universities, government",Second multilingual pass completed,"SICV Brasil, PeruLCA, CicloData and MexiLCA captured","Argentina, Andean and Caribbean coverage remains uneven",Portuguese/Spanish searches corrected a major regional omission,Validate through national LCA networks and repeat country-by-country,2026-08-22
SRC-0008,Africa,Africa,"English, French; Arabic and local languages pending","National/sector LCI, EPD, tools","Government, standards bodies, universities, sector bodies",Material gap,No direct regional database family established in current cut-off,Absence in inventory is not absence of assets,"Country-by-country multilingual search; prioritize energy, agriculture, mining, construction and waste",2026-08-22,
SRC-0009,South and Southeast Asia,"India, Indonesia, Thailand, Vietnam and neighbours",Local languages and English,National/sector LCI and tools,"Government, universities, industry bodies",Targeted pass completed,"Thai National LCI, MYLCID, Korea LCI and CLCD captured; India database remains at roadmap/sector-project stage","Indonesia, Vietnam, South Asia and several ASEAN countries remain shallow",The earlier material gap was real; four national databases were added,Repeat with local-language standards-body and programme searches,2026-08-22
SRC-0010,Middle East and North Africa,MENA,"Arabic, French and English","National LCI, energy/materials, EPD","Standards bodies, universities, sector bodies",Material gap,No sufficiently deep independent search stream,Current count is likely biased downward,Arabic/French searches and national standards-body review,2026-08-22,
SRC-0011,Schema/software/mapping chaining,Global,English,"Formats, software and mapping projects","Official documentation, repositories, peer-reviewed studies",Targeted mapping pass completed,"25 mapping artifacts registered, including seven TIDAS Tools v0.2.0 conversion/import directions, GLAD's 12 directional elementary-flow mappings and Lavoisier bidirectional schema conversion","Many mappings still lack exact version pairs, independent conformance tests or quantitative loss reports; TIDAS external adapters are one-way imports",Q6 is answerable as an evidence inventory but not as proof of universal interoperability,Run reproducible version-pair tests and retain transformation-loss logs,2026-08-22
SRC-0012,Version-history chaining,Global,English plus holder language,69 core database families; 77 extended data-bearing assets; 43 software; 14 schemas,"Official release pages, tags, changelogs, archived documentation",Milestone pass completed for priority assets,"296 release/milestone rows; 69 core database families, 43 software assets and 14 schemas are covered at least by a current snapshot; all seven public TIDAS Tools releases from v0.1.0 through v0.2.0 are captured",Commercial/cloud tools and some national databases lack public patch-level archives,"Q5 supports verified public milestones, not exhaustive release chronologies",Request provider archives only in a later expert-validation phase,2026-08-22
SRC-0013,Portuguese/Spanish national-database search,"Brazil, Peru, Chile and wider Latin America",Portuguese and Spanish,National and regional LCI databases,"Government institutes, universities, national networks and official database sites",Completed targeted pass,"SICV Brasil, PeruLCA and CicloData added; MexiLCA retained",No authoritative regional census; some countries have roadmaps rather than operational databases,Raises the core lower bound and demonstrates language bias in the prior English-heavy sample,Expert-check through RICV and repeat country-by-country,2026-08-22
SRC-0014,East and Southeast Asian national-database search,"China, Korea, Thailand and Malaysia","Chinese, Korean, Thai, Malay and English",National LCI databases,"Official providers, government institutes and UNEP database-helpdesk documentation",Completed targeted pass,"CLCD, Korea National LCI, Thai National LCI and MYLCID added",Exact current versions/licences/formats remain partly unpublished or account-mediated,Adds four national database families and materially improves Asian coverage,Search Japan sector modules and remaining ASEAN national initiatives,2026-08-22
SRC-0015,National-database format cross-check,Global,English plus provider languages,ILCD and ecoSpold national distributions,UNEP Life Cycle Initiative database helpdesk and official providers,Completed targeted pass,"ILCD use confirmed for SICV, MYLCID and Thai National LCI; ecoSpold use confirmed for PeruLCA and Quebec LCI",Exact schema revisions and tested software versions remain missing,Provides authoritative format-family evidence without inferring release-level compatibility,Capture actual public packages and test named software versions,2026-08-22
SRC-0016,Metals-sector association search,Global,English,"Aluminium, nickel, zinc and copper LCI",Official international industry associations,Completed targeted pass,"IAI, Nickel Institute, IZA and ICA data families added",Some full datasets are embedded in host databases or only partially public,Sector associations hold reusable LCI families that generic database lists miss,"Search magnesium, molybdenum, cobalt, lead and precious-metal associations",2026-08-22
SRC-0017,Materials and legacy-model search,Europe and North America,English and German,"Glass, bitumen, forest products and integrated energy/material models","Official associations, research consortia and model maintainers",Completed targeted pass,"FEVE, Eurobitume, CORRIM and GEMIS added",Some packages require requests; schema versions are unevenly documented,Shows that database discovery must include sector publication families and integrated models,"Extend to pulp/paper, cement/concrete, fertilizers and other construction materials",2026-08-22
