scope_record_id,asset_id,official_name,current_asset_type,scope_class,working_count_status,extended_data_bearing_count,lifecycle_status,owner,owner_country_countries,developer_country_countries,geographic_data_coverage,sector_scope,first_release_year,current_version,latest_release_date,metadata_access,data_access,open_data_status,source_code_openness,registration,fee,licence_identifier_terms,redistribution_rights,canonical_access_download_url,schema_data_model,formats,software_compatibility,evidence_urls,evidence_as_of,information_status,scope_evidence_note
DBS-0001,LCA-DB-0001,ecoinvent database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; annual updates stated,ecoinvent Association,Switzerland,Switzerland; international data providers,Global,"Multi-sector; v3.12 public release page lists agriculture, chemicals, fuels, metals, electricity, forestry, textiles, transport, pulp and paper, batteries and electronics.",2003,v3.12,2025-11-05,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,ecoinvent licence,Not publicly confirmed,https://ecoinvent.org/database/,ecoSpold2,ecoSpold2 (.spold/XML); Excel summaries (.xlsx),ecoSpold2; software-specific distributions publicly advertised,https://ecoinvent.org/mission-history/ | https://support.ecoinvent.org/releases-overview | https://support.ecoinvent.org/data-formats-overview | https://support.ecoinvent.org/hubfs/Comms/2025%20v3.12%20Release/Introduction%20to%20ecoinvent%20v3.12.pdf,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Official history records releases in 2003, 2007 and 2013; the current evidence identifies v3.12 released 2025-11-05."
DBS-0002,LCA-DB-0002,U.S. Life Cycle Inventory Database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active quarterly releases,U.S. Department of Energy / National Laboratory of the Rockies,United States,United States,United States,"More than 600 process LCIs across fuels, transport, metals, chemicals, resins, paper, electronics and building materials are publicly described",2003 (project 2001),1.2026-06.0,2026-06-29,Public metadata page,Publicly accessible download,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Repository terms not yet fully reviewed,Not publicly confirmed,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,openLCA schema / JSON-LD for current web distribution,ZOLCA; JSON-LD; earlier release packages also document ecoSpold2 and ILCD,openLCA 2.6.1 for release 1.2026-06.0,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets | https://www.lcacommons.gov/releases | https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,The Federal LCA Commons exposes version history and current JSON-LD downloads without a new account; the API itself now requires a key and was not used.
DBS-0003,LCA-DB-0003,Agri-footprint,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; version 8 announced but not confirmed released on the accessed page,Mérieux NutriSciences | Blonk,Netherlands,Netherlands; international contributors,63+ countries stated for version 7,"Agri-food; 4,800+ datasets stated for version 7",2014,v7.0,2025-05,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,"Research, consultancy, commercial, developer and enterprise licence options",Not publicly confirmed,https://blonksustainability.nl/tools-and-databases/agri-footprint,Not publicly confirmed,JSON; Blonk Data Hub; XLS/CSV on request,JSON; SimaPro; openLCA availability described by provider,https://blonksustainability.nl/tools-and-databases/agri-footprint | https://blonksustainability.nl/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0004,LCA-DB-0004,AGRIBALYSE,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; version 3.3 was described as planned for 2026,ADEME,France,France; international background-data contributors,"France, with imported/background processes","Agriculture and food; public documentation refers to 2,516 finished food products",2009 programme; v1 in 2013,v3.2,2025-09-05,Public metadata page,Free-of-charge data routes; full disaggregated use depends on an ecoinvent licence,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,Etalab Open Licence for public AGRIBALYSE information; ecoinvent rights apply to included background data,Not publicly confirmed,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,Multiple software-specific distributions; no single canonical schema confirmed,SimaPro distribution; Brightway package; openLCA package; simplified CSV and Excel tables,SimaPro; Brightway; openLCA,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access | https://doc.agribalyse.fr/documentation-en/data-use/webinars | https://presse.ademe.fr/files/plaquette_presentation_agribalyse.pdf | https://www.ademe.fr/lagence/notre-organisation/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Official documentation explicitly warns that results can differ among SimaPro, Brightway and openLCA implementations."
DBS-0005,LCA-DB-0005,BAFU:2025 life cycle inventory database,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active annual/versioned programme,Swiss Federal Office for the Environment (FOEN/BAFU),Switzerland,Switzerland; international commissioned contributors,Switzerland with supporting international background processes,"Cross-sector Swiss LCI, including transport, energy, ICT and other commissioned inventory updates",Not publicly confirmed,BAFU:2025,2025-12,Public metadata page,Free or mixed access; registration required,"Free access with registration, use restrictions, or third-party dependency",Not applicable to data rights; related software/code must be assessed separately,Required or account-gated,No fee stated for at least one access route,Public terms of use available,Not publicly confirmed,https://nexus.openlca.org/database/BAFU,Not publicly confirmed,openLCA package via Nexus,Not publicly confirmed,https://www.bafu.admin.ch/en/studies-economy-and-consumption | https://nexus.openlca.org/database/BAFU | https://www.bafu.admin.ch/en/contact-en,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0006,LCA-DB-0006,cm.chemicals,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; annual updates stated,Carbon Minds,Germany,Germany,Global; provider states 200+ regions,"Chemicals and plastics; provider homepage states 1,700+ products",2021,v2.03,2026-06,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial licence,Not publicly confirmed,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/ | https://www.carbon-minds.com/site-notice/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0007,LCA-DB-0007,EXIOBASE 3,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active release/update record on Zenodo,EXIOBASE consortium,International / European research consortium,Multiple European countries,44 countries and 5 rest-of-world regions for EXIOBASE 3,200 products and 163 industries,2018 documented public v3 line,v3.10.2,2026-05,Public Zenodo distributions; licence differs by release,Public download through Zenodo,Open licence confirmed for at least one official distribution,Not applicable to data rights; related software/code must be assessed separately,Not required for the verified Zenodo release,No fee stated for the verified release,v3.8.2 CC BY-SA; v3.9+ customized CC-BY-SA-NC / commercial licensing,Open redistribution for v3.8.2; v3.9 governed by customized non-commercial/commercial terms,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562,MR-SUT / MR-IOT matrix model,Download packages on Zenodo; file-level format to be captured per release,Not publicly confirmed,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE | https://exiobase.eu/terms-of-use/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,EXIOBASE is a consortium output with no defensible single developer country; owner/developer country must allow multiple countries.
DBS-0008,LCA-DB-0008,AIST-IDEA,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; minor adjustments stated in progress in 2026,National Institute of Advanced Industrial Science and Technology (AIST),Japan,Japan,Japan; adapted overseas versions are also described,"Almost all Japanese business activities; 10,000+ processes stated for v4",Not publicly confirmed,v4,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,AIST-IDEA licence terms,Not publicly confirmed,https://idea-lca.com/en/features/,Not publicly confirmed,Excel; SimaPro and openLCA implementations,Not publicly confirmed,https://idea-lca.com/en/features/ | https://www.aist.go.jp/aist_e/about_aist,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
DBS-0009,LCA-DB-0010,US Environmentally-Extended Input-Output models,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active open-source modelling framework,US Environmental Protection Agency,United States,United States,United States with imported-impact extensions in some variants,US economy; official page describes 389 industry sectors,2017,v2.3 model family,Current at 2026-08-22; exact model-release date not captured,Public metadata page,Public model resources and open-source build framework,Public/free access; licence or redistribution unclear or mixed,Not applicable to data rights; related software/code must be assessed separately,Not required for stated public access,No fee stated for at least one access route,useeior software is MIT; model inputs/outputs retain source-specific public-data terms,Software redistribution allowed under MIT; model-data rights remain source-specific,https://github.com/USEPA/USEEIO,USEEIO model matrices and model specifications; JSON-LD export path documented,R model objects/matrices; JSON-LD conversion; API-oriented model output,useeior; openLCA conversion path; USEEIO API,https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior | https://github.com/USEPA/useeior/releases,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,The model and the useeior software have separate version lines and must not be collapsed into one version field.
DBS-0010,LCA-DB-0011,Sphera Managed LCA Content,Database / dataset,Current database / dataset record; subtype normalization pending,Core working count,Yes,Active; regular updates stated,Sphera,United States,United States; Germany (GaBi/thinkstep lineage),Global and regional content,"20,000 datasets and 60+ industries stated; 13 standard and 8 premium bundles",Not publicly confirmed,2026 release/catalogue,Not publicly confirmed,Public metadata page,Commercial or licence-restricted,Commercial/proprietary,Not applicable to data rights; related software/code must be assessed separately,Not publicly confirmed,Fee or commercial licence applies,Commercial licence,Not publicly confirmed,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/ | https://lcadatabase.sphera.com/ | https://sphera.com/our-locations/,2026-08-22,Q2/Q4 normalized from public official/provider sources; access packages not downloaded when registration was required,"Current inclusion is a working lower-bound classification, not evidence of global completeness."
