software_company_role_id,asset_id,product_name,organization_name,entity_type,role,original_public_label,resolution_status,evidence_url,reviewed_at,organization_id
SCRL-00001,LCA-SW-0001,SimaPro desktop edition,PRé Sustainability B.V.,Company,developer,PRé Sustainability B.V.,Actor and role resolved from reviewed public evidence,https://simapro.com/insights/simapro-and-pre-are-now-part-of-one-click-lca/,2026-09-01,ORG-0286
SCRL-00002,LCA-SW-0001,SimaPro desktop edition,SimaPro B.V.,Company,operator/maintainer,SimaPro,Actor and role resolved from reviewed public evidence,https://simapro.com/legal/,2026-09-01,ORG-0308
SCRL-00003,LCA-SW-0001,SimaPro desktop edition,One Click LCA Oy Ltd,Company,owner,One Click LCA group,Actor and role resolved from reviewed public evidence,https://simapro.com/insights/simapro-and-pre-are-now-part-of-one-click-lca/,2026-09-01,ORG-0265
SCRL-00004,LCA-SW-0002,Brightway,Chris Mutel,Individual,developer,Chris Mutel,Actor and role resolved from reviewed public evidence,https://docs.brightway.dev/en/latest/content/other/credits.html,2026-09-01,ORG-0051
SCRL-00005,LCA-SW-0003,openLCA,GreenDelta GmbH,Company,developer,GreenDelta GmbH,Actor and role resolved from reviewed public evidence,https://www.openlca.org/,2026-09-01,ORG-0173
SCRL-00006,LCA-SW-0003,openLCA,GreenDelta GmbH,Company,operator/maintainer,GreenDelta GmbH,Actor and role resolved from reviewed public evidence,https://www.openlca.org/,2026-09-01,ORG-0173
SCRL-00007,LCA-SW-0003,openLCA,GreenDelta GmbH,Company,owner,GreenDelta GmbH,Actor and role resolved from reviewed public evidence,https://www.openlca.org/,2026-09-01,ORG-0173
SCRL-00008,LCA-SW-0004,One Click LCA,One Click LCA Oy Ltd,Company,developer,One Click LCA Oy Ltd,Actor and role resolved from reviewed public evidence,https://oneclicklca.com/en-us/,2026-09-01,ORG-0265
SCRL-00009,LCA-SW-0004,One Click LCA,One Click LCA Oy Ltd,Company,operator/maintainer,One Click LCA,Actor and role resolved from reviewed public evidence,https://oneclicklca.com/en-us/,2026-09-01,ORG-0265
SCRL-00010,LCA-SW-0004,One Click LCA,One Click LCA Oy Ltd,Company,owner,One Click LCA Ltd / One Click LCA group,Actor and role resolved from reviewed public evidence,https://oneclicklca.com/en-us/,2026-09-01,ORG-0265
SCRL-00011,LCA-SW-0005,Sphera LCA for Experts,"Sphera Solutions, Inc.",Company,developer,"Sphera Solutions, Inc.",Actor and role resolved from reviewed public evidence,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/,2026-09-01,ORG-0318
SCRL-00012,LCA-SW-0005,Sphera LCA for Experts,"Sphera Solutions, Inc.",Company,operator/maintainer,Sphera,Actor and role resolved from reviewed public evidence,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/,2026-09-01,ORG-0318
SCRL-00013,LCA-SW-0005,Sphera LCA for Experts,"Sphera Solutions, Inc.",Company,owner,Sphera,Actor and role resolved from reviewed public evidence,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/,2026-09-01,ORG-0318
SCRL-00014,LCA-SW-0006,Lavoisier,Federal University of Technology – Paraná (UTFPR),University / research institution,developer,Federal University of Technology – Paraná (UTFPR),Actor and role resolved from reviewed public evidence,https://github.com/JosePauloSavioli/Lavoisier,2026-09-01,ORG-0139
SCRL-00015,LCA-SW-0007,R&D GREET,Argonne National Laboratory,University / research institution,developer,Argonne National Laboratory,Actor and role resolved from reviewed public evidence,https://www.energy.gov/cmei/rd-greet-life-cycle-assessment-model,2026-09-01,ORG-0012
SCRL-00016,LCA-SW-0007,R&D GREET,Argonne National Laboratory,University / research institution,operator/maintainer,Argonne National Laboratory,Actor and role resolved from reviewed public evidence,https://www.energy.gov/cmei/rd-greet-life-cycle-assessment-model,2026-09-01,ORG-0012
SCRL-00017,LCA-SW-0007,R&D GREET,U.S. Department of Energy,Public body,owner,United States Department of Energy,Actor and role resolved from reviewed public evidence,https://www.energy.gov/cmei/rd-greet-life-cycle-assessment-model,2026-09-01,ORG-0349
SCRL-00018,LCA-SW-0008,HESTIA Calculation Models,University of Oxford,University / research institution,developer,University of Oxford,Actor and role resolved from reviewed public evidence,https://www.hestia.earth/docs,2026-09-01,ORG-0359
SCRL-00019,LCA-SW-0008,HESTIA Calculation Models,University of Oxford,University / research institution,owner,HESTIA project / University of Oxford,Actor and role resolved from reviewed public evidence,https://www.hestia.earth/docs,2026-09-01,ORG-0359
SCRL-00020,LCA-SW-0009,Ecochain LCA automation software,Ecochain Technologies B.V.,Company,developer,Ecochain Technologies B.V.,Actor and role resolved from reviewed public evidence,https://ecochain.com/product/,2026-09-01,ORG-0095
SCRL-00021,LCA-SW-0009,Ecochain LCA automation software,Ecochain Technologies B.V.,Company,operator/maintainer,Ecochain Technologies,Actor and role resolved from reviewed public evidence,https://ecochain.com/product/,2026-09-01,ORG-0095
SCRL-00022,LCA-SW-0009,Ecochain LCA automation software,Ecochain Technologies B.V.,Company,owner,Ecochain Technologies,Actor and role resolved from reviewed public evidence,https://ecochain.com/product/,2026-09-01,ORG-0095
SCRL-00023,LCA-SW-0010,LCA as Code,Kleis Technology,Company,developer,Kleis Technology,Actor and role resolved from reviewed public evidence,https://lca-as-code.com/,2026-09-01,ORG-0228
SCRL-00024,LCA-SW-0010,LCA as Code,Kleis Technology,Company,operator/maintainer,LCA as Code team,Actor and role resolved from reviewed public evidence,https://lca-as-code.com/,2026-09-01,ORG-0228
SCRL-00025,LCA-SW-0011,LCAx toolkit,Christian Kongsgaard,Individual,developer,Christian Kongsgaard,Actor and role resolved from reviewed public evidence,https://github.com/ocni-dtu/lcax,2026-09-01,ORG-0052
SCRL-00026,LCA-SW-0012,LCIA Formatter,U.S. Environmental Protection Agency,Public body,developer,U.S. Environmental Protection Agency,Actor and role resolved from reviewed public evidence,https://github.com/FLCAC-admin/LCIAformatter,2026-09-01,ORG-0351
SCRL-00027,LCA-SW-0012,LCIA Formatter,Federal LCA Commons,Public consortium / community,operator/maintainer,FLCAC-admin repository contributors,Actor and role resolved from reviewed public evidence,https://github.com/FLCAC-admin/LCIAformatter,2026-09-01,ORG-0138
