version_audit_id,asset_id,official_name,audit_date,canonical_route,route_check_result,version_review_status,previous_version,reviewed_version,reviewed_release_date,evidence_url,audit_note
VA-0001,LCA-DB-0001,ecoinvent database,2026-08-25,https://ecoinvent.org/database/,Public content returned,Rechecked; existing evidence-linked value retained,v3.12,v3.12,2025-11-05,https://ecoinvent.org/mission-history/ | https://support.ecoinvent.org/releases-overview | https://support.ecoinvent.org/data-formats-overview | https://support.ecoinvent.org/hubfs/Comms/2025%20v3.12%20Release/Introduction%20to%20ecoinvent%20v3.12.pdf | https://nexus.openlca.org/ws/files/35296,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0002,LCA-DB-0002,U.S. Life Cycle Inventory Database,2026-08-25,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,Public content returned,Rechecked; existing evidence-linked value retained,1.2026-06.0,1.2026-06.0,2026-06-29,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets | https://www.lcacommons.gov/releases | https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0003,LCA-DB-0003,Agri-footprint,2026-08-25,https://blonksustainability.nl/tools-and-databases/agri-footprint,Public content returned,Rechecked; existing evidence-linked value retained,v7.0,v7.0,2025-05,https://blonksustainability.nl/tools-and-databases/agri-footprint | https://blonksustainability.nl/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0004,LCA-DB-0004,AGRIBALYSE,2026-08-25,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,Public content returned,Rechecked; existing evidence-linked value retained,v3.2,v3.2,2025-09-05,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access | https://doc.agribalyse.fr/documentation-en/data-use/webinars | https://presse.ademe.fr/files/plaquette_presentation_agribalyse.pdf | https://www.ademe.fr/lagence/notre-organisation/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0005,LCA-DB-0005,Swiss Federal Administration LCI Database (BAFU),2026-08-25,https://nexus.openlca.org/database/BAFU,Public content returned,Explicit public update recorded,BAFU:2025,BAFU:2026 Version 1,2026-06-22,https://nexus.openlca.org/ws/dataproviders/10465,"Public Nexus metadata states about 11,000 LCIs in 176 categories and lists openLCA zolca, ecoSpold1, Excel LCIA results and PDF documentation."
VA-0006,LCA-DB-0006,cm.chemicals,2026-08-25,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/,Public content returned,Rechecked; existing evidence-linked value retained,v2.03,v2.03,2026-06,https://www.carbon-minds.com/products/data/carbon-footprint-and-lca-data/database-and-methodology-versions/ | https://www.carbon-minds.com/site-notice/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0007,LCA-DB-0007,EXIOBASE 3,2026-08-25,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562,Public content returned,Rechecked; existing evidence-linked value retained,v3.10.2,v3.10.2,2026-05,https://zenodo.org/records/5589597 | https://zenodo.org/records/20051562 | https://github.com/EXIOBASE | https://exiobase.eu/terms-of-use/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0008,LCA-DB-0008,AIST-IDEA,2026-08-25,https://idea-lca.com/en/features/,Public content returned,Rechecked; existing evidence-linked value retained,v4,v4,Not publicly confirmed,https://idea-lca.com/en/features/ | https://www.aist.go.jp/aist_e/about_aist,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0009,LCA-DB-0010,US Environmentally-Extended Input-Output models,2026-08-25,https://github.com/USEPA/USEEIO,Public content returned,Rechecked; existing evidence-linked value retained,v2.3 model family,v2.3 model family,Current at 2026-08-22; exact model-release date not captured,https://github.com/USEPA/USEEIO | https://github.com/USEPA/useeior | https://github.com/USEPA/useeior/releases,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
VA-0010,LCA-DB-0011,Sphera Managed LCA Content,2026-08-25,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/,Public content returned,Rechecked; existing evidence-linked value retained,2026 release/catalogue,2026 release/catalogue,Not publicly confirmed,https://sphera.com/solutions/product-stewardship/life-cycle-assessment-software-and-data/managed-lca-content/ | https://lcadatabase.sphera.com/ | https://sphera.com/our-locations/,No explicit newer version was recorded from the public route in this pass; the existing evidence-linked value was retained.
