distribution_id,database_asset_id,database_name,database_release,distribution_package,schema_profile,schema_version,access_route,access_category,licence_rights,registration,fee,compatible_software,software_version,direction,claimed_tested_status,evidence_url,evidence_as_of,known_constraint_next_test
DST-0001,LCA-DB-0001,ecoinvent database,3.12,Unit-process and system-model files,ecoSpold2 XML,ecoinvent v3 family; exact XSD revision not stated,https://ecoinvent.org/database/,Commercial/proprietary,ecoinvent licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,ecoinvent-compatible LCA software,Not publicly confirmed,Database to consumer software/tool,Provider-documented format; software/version matrix pending,https://support.ecoinvent.org/data-formats-overview,2026-08-22,Commercial licence controls use; run import tests only with a licensed package.
DST-0002,LCA-DB-0001,ecoinvent database,3.12,Cumulative LCI and LCIA result workbooks,XLSX tabular workbook,ecoinvent v3 family,https://ecoinvent.org/database/,Commercial/proprietary,ecoinvent licence; Redistribution: Not publicly confirmed,Not publicly confirmed,Fee or commercial licence applies,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider-documented format,https://support.ecoinvent.org/data-formats-overview,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0003,LCA-DB-0002,U.S. Life Cycle Inventory Database,1.2026-06.0,ZOLCA database package,openLCA database package,USLCI 1.2026-06.0,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,Public/free access; licence or redistribution unclear or mixed,Repository terms not yet fully reviewed; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,openLCA,2.6.1,Database to consumer software/tool,Provider-published exact release/software pair,https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0004,LCA-DB-0002,U.S. Life Cycle Inventory Database,1.2026-06.0,JSON-LD package,openLCA schema / JSON-LD,USLCI 1.2026-06.0,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,Public/free access; licence or redistribution unclear or mixed,Repository terms not yet fully reviewed; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,openLCA,2.x family,Database to consumer software/tool,Provider-published download; import not independently tested,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0005,LCA-DB-0002,U.S. Life Cycle Inventory Database,1.2026-06.0,Historical exchange packages,ecoSpold2 and ILCD,Older release-specific,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,Public/free access; licence or redistribution unclear or mixed,Repository terms not yet fully reviewed; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,Schema-compatible LCA software,Not publicly confirmed,Database to consumer software/tool,Provider historical table; exact pairs vary by release,https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0006,LCA-DB-0003,Agri-footprint,7.0,Blonk Data Hub / JSON delivery,Provider JSON,Agri-footprint 7,https://blonksustainability.nl/tools-and-databases/agri-footprint,Commercial/proprietary,"Research, consultancy, commercial, developer and enterprise licence options; Redistribution: Not publicly confirmed",Not publicly confirmed,Fee or commercial licence applies,JSON-capable tools and licensed integrations,Not publicly confirmed,Database to consumer software/tool,Provider-described distribution; not independently tested,https://blonksustainability.nl/tools-and-databases/agri-footprint,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0007,LCA-DB-0003,Agri-footprint,7.0,SimaPro library,SimaPro proprietary library/exchange,Agri-footprint 7,https://blonksustainability.nl/tools-and-databases/agri-footprint,Commercial/proprietary,"Research, consultancy, commercial, developer and enterprise licence options; Redistribution: Not publicly confirmed",Not publicly confirmed,Fee or commercial licence applies,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider-described availability,https://blonksustainability.nl/tools-and-databases/agri-footprint,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0008,LCA-DB-0003,Agri-footprint,7.0,openLCA implementation,openLCA database package,Agri-footprint 7,https://blonksustainability.nl/tools-and-databases/agri-footprint,Commercial/proprietary,"Research, consultancy, commercial, developer and enterprise licence options; Redistribution: Not publicly confirmed",Not publicly confirmed,Fee or commercial licence applies,openLCA,Not publicly confirmed,Database to consumer software/tool,Provider-described availability; package not accessed,https://blonksustainability.nl/tools-and-databases/agri-footprint,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0009,LCA-DB-0003,Agri-footprint,7.0,Tabular delivery on request,XLS / CSV,Agri-footprint 7,https://blonksustainability.nl/tools-and-databases/agri-footprint,Commercial/proprietary,"Research, consultancy, commercial, developer and enterprise licence options; Redistribution: Not publicly confirmed",Not publicly confirmed,Fee or commercial licence applies,Spreadsheet/statistical software,Not publicly confirmed,Database to consumer software/tool,Provider-described request route,https://blonksustainability.nl/tools-and-databases/agri-footprint,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
DST-0010,LCA-DB-0004,AGRIBALYSE,3.2,Reference database,SimaPro distribution,AGRIBALYSE 3.2,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,"Free access with registration, use restrictions, or third-party dependency",Etalab Open Licence for public AGRIBALYSE information; ecoinvent rights apply to included background data; Redistribution: Not publicly confirmed,Not required for stated public access,No fee stated for at least one access route,SimaPro,Not publicly confirmed,Database to consumer software/tool,Provider reference implementation,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,2026-08-22,"No round-trip, conformance or quantitative fidelity test was run unless the status explicitly says otherwise."
