mapping_artifact_id,source_asset_id,source_schema_format,source_version,target_asset_id,target_schema_format,target_version,direction,mapping_type,implementing_software_tool,project_study,artifact_url_doi,maintainer,claimed_tested,test_scope,known_loss_exception,licence,status,evidence_as_of,next_validation_action
MAP-0001,LCA-FMT-0001,ecoSpold2,Not publicly confirmed,LCA-FMT-0002,ILCD,1.1 family,Bidirectional,Schema and field conversion,Lavoisier,Lavoisier conversion framework and 2026 peer-reviewed case study,https://doi.org/10.1007/s11367-026-02691-4,Lavoisier contributors / UTFPR and partners,Tested in peer-reviewed study,115 ecoSpold2 and 116 ILCD datasets reported in the study,Format-specific metadata and reference-list constraints; conversion loss is logged,Open-source framework; verify repository licence per release,Verified mapping artifact,2026-08-22,Capture exact schema/reference-list versions and rerun published cases.
MAP-0002,LCA-FMT-0002,ILCD,Not publicly confirmed,LCA-FMT-0001,ecoSpold2,Not publicly confirmed,Bidirectional,Schema and field conversion,Lavoisier,Lavoisier conversion framework and 2026 peer-reviewed case study,https://doi.org/10.1007/s11367-026-02691-4,Lavoisier contributors / UTFPR and partners,Tested in peer-reviewed study,Same implementation as MAP-0001; reverse direction explicitly implemented,Some semantics are not one-to-one; exact loss catalogue must remain versioned,Open-source framework; verify repository licence per release,Verified mapping artifact,2026-08-22,Link code release/tag and validator outputs.
MAP-0003,LCA-FMT-0002,ILCD,Not publicly confirmed,LCA-FMT-0004,openLCA schema / JSON-LD,Not publicly confirmed,Import,Schema conversion plus elementary-flow mapping,openLCA,openLCA import and mapping-file workflow,https://greendelta.github.io/openLCA2-manual/databases/importing_and_combining_databases.html,GreenDelta,Documented provider implementation,Import workflow; no independent round-trip test in this review,Requires flow mapping and version-aware UUID handling,openLCA is open source; data licences remain separate,Documented implementation,2026-08-22,Test a public ILCD package against an explicit openLCA release.
MAP-0004,External,SimaPro CSV,Not publicly confirmed,LCA-FMT-0004,openLCA schema / JSON-LD,Not publicly confirmed,Import,Schema conversion plus flow mapping,openLCA,openLCA import and mapping-file workflow,https://greendelta.github.io/openLCA2-manual/databases/mapping_validation.html,GreenDelta,Documented provider implementation,"CSV mapping files for SimaPro, ILCD and EcoSpold1 are documented",Mapping quality depends on reference systems and user validation,openLCA is open source; source data licences remain separate,Documented implementation,2026-08-22,"Publish mapping file versions, coverage and validation results."
MAP-0005,LCA-FMT-0004,openLCA schema / JSON-LD,Not publicly confirmed,LCA-FMT-0002,ILCD,Not publicly confirmed,Export,Schema conversion,openLCA,openLCA export workflow,https://greendelta.github.io/openLCA2-manual/databases/exporting_databases.html,GreenDelta,Documented provider implementation,ILCD ZIP export is documented,Feature/semantics coverage is not stated as lossless,openLCA is open source; data licences remain separate,Documented implementation,2026-08-22,Run round-trip and quantitative comparison tests.
MAP-0006,LCA-FMT-0001,ecoSpold2,Not publicly confirmed,LCA-SW-0002,Brightway internal data model,Brightway 2 / 2.5 family,Import,Parser/import adapter,Brightway / bw2io,Brightway import ecosystem,https://github.com/brightway-lca/brightway25,Brightway developer community,Provider-documented compatibility,Import relationship recorded; exact schema/version matrix pending,Brightway 2 and 2.5 have different processed-data formats,BSD-family open-source components,Confirmed relationship; version matrix pending,2026-08-22,Identify bw2io release and ecoSpold2 schema revisions tested.
MAP-0007,LCA-FMT-0003,ILCD+EPD JSON,Not publicly confirmed,LCA-FMT-0009,LCAx,Not publicly confirmed,Import / conversion,EPD object conversion,LCAx toolkit,LCAx conversion guides,https://docs.lcax.org/guides/conversion/ilcd,LCAx project,Provider-documented implementation,Example conversion from ILCD+EPD JSON to LCAx EPD,Reverse conversion and field-level coverage not established,Open-source toolkit; confirm component licence per release,Documented implementation,2026-08-22,Run bidirectional field-coverage tests on public EPD examples.
MAP-0008,LCA-FMT-0007,openEPD,v7 pre-stable line noted in repository,LCA-FMT-0003,ILCD+EPD,Not publicly confirmed,Compatibility claim,Conceptual/schema compatibility,openEPD reference implementation,openEPD Forum documentation,https://docs.open-epd-forum.org/en/open-epd-format/,openEPD Forum / C Change Labs contributors,Compatibility claimed; transformation artifact not identified,No explicit converter test captured,Compatibility is not equivalence; extension handling may differ,Open specification; repository licence to be linked per version,Claimed compatibility only,2026-08-22,Locate a versioned converter or mapping table and test examples.
MAP-0009,LCA-FMT-0001,ecoSpold2,Not publicly confirmed,LCA-SW-0010,LCA as Code internal model,Not publicly confirmed,Import / export,Parser and exporter,LCA as Code,Provider documentation,https://lca-as-code.com/,LCA as Code project,Provider-confirmed; not independently tested,Relationship REL-0073,Round-trip fidelity not tested,Open-source project; exact release licence requires capture,Confirmed relationship,2026-08-22,Test a versioned public ecoSpold2 sample.
MAP-0010,LCA-FMT-0001,ecoSpold2,Not publicly confirmed,LCA-SW-0024,VoLCA internal model,Not publicly confirmed,Import / export,Parser and exporter,VoLCA,Provider documentation,https://www.volca.run/,VoLCA project,Provider-confirmed; not independently tested,Relationship REL-0142,Database licences and elementary-flow reference lists remain external,Public/open-source components; verify exact version licence,Confirmed relationship,2026-08-22,Capture supported schema and reference-list versions.
