candidate_review_id,discovery_register,candidate_name,developer_provider,official_url,source_url,qualifying_capabilities,review_status,matched_asset_id,decision_reason,reviewed_at
SCR-0001,WBCSD PACT Network solution directory,3DEXPERIENCE Platform,Dassault Systèmes,https://www.3ds.com/sustainability,https://www.carbon-transparency.org/solutions/3dexperience-platform,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0044,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0002,WBCSD PACT Network solution directory,Altruistiq,Altruistiq,https://altruistiq.com/,https://www.carbon-transparency.org/solutions/altruistiq,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0045,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0003,WBCSD PACT Network solution directory,ASUENE,ASUENE,https://earthene.com/,https://www.carbon-transparency.org/solutions/asuene,PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0046,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0004,WBCSD PACT Network solution directory,ASUENE LCA,ASUENE Inc.,https://asuene.com/lca/en,https://www.carbon-transparency.org/solutions/asuene-lca,LCA; PCF calculation; PCF exchange,Promoted as new asset,LCA-SW-0047,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0005,WBCSD PACT Network solution directory,ASUS ESG Carbon Data Management Platform,Taiwan Web Service Corporation,https://asus.aplusesg.com,https://www.carbon-transparency.org/solutions/asus-esg-carbon-data-management-platform,PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0048,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0006,WBCSD PACT Network solution directory,Atma.io,Atma.io,https://www.atma.io/,https://www.carbon-transparency.org/solutions/atma-io,LCA; PCF calculation; traceability,Promoted as new asset,LCA-SW-0049,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0007,WBCSD PACT Network solution directory,BACUTI Enterprise Edition,BACUTI,https://www.bacuti.com,https://www.carbon-transparency.org/solutions/bacuti-enterprise-edition,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0050,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0008,WBCSD PACT Network solution directory,booost Sustainability PCF module,"Booost, Inc.",https://booost-tech.com,https://www.carbon-transparency.org/solutions/booost-inc,PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0051,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0009,WBCSD PACT Network solution directory,carbmee EIS,carbmee,https://www.carbmee.com,https://www.carbon-transparency.org/solutions/carbmee,LCA; PCF calculation; CCF calculation,Promoted as new asset,LCA-SW-0052,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
SCR-0010,WBCSD PACT Network solution directory,Carboledger,Carboledger,https://www.carboledger.com,https://www.carbon-transparency.org/solutions/carboledger,PCF exchange; supplier data collection,Promoted as new asset,LCA-SW-0053,"Distinct product with a publicly stated qualifying LCA, PCF-calculation, or PCF-exchange function",2026-09-01
