asset_id,official_name,alternative_name_acronym,asset_type,short_description,owner,operator_maintainer,official_url,geographic_coverage,sector_product_process_coverage,intended_users,main_use_cases,language,temporal_coverage,current_version,release_update_date,maintenance_status,access_model,licence_or_usage_rights,commercial_restricted_open_status,registration_requirement,governance_arrangement,long_term_stewardship_information,data_content_type,data_model_or_schema,exchange_format,api_or_machine_readable_interface,nomenclature_classification,identifiers,metadata_approach,versioning_mechanism,documentation_availability,qa_validation_approach,review_procedure,data_quality_documentation,methodological_basis,provenance_information,citation_mechanism,known_limitations,related_assets,relationship_type,evidence_for_relationship,import_export_compatibility,existing_mapping_or_conversion,potential_interoperability_opportunity,known_interoperability_constraint,primary_sources,supporting_sources,evidence_excerpt,access_date,confidence_level,unresolved_questions,public_evidence_status
LCA-DB-0001,ecoinvent database,ecoinvent,Database / dataset,"Commercial, multi-sector life cycle inventory database with documented annual releases and several system models.",ecoinvent Association,ecoinvent Association,https://ecoinvent.org/database/,Global,"Multi-sector; v3.12 public release page lists agriculture, chemicals, fuels, metals, electricity, forestry, textiles, transport, pulp and paper, batteries and electronics.","LCA practitioners, researchers, software and data providers",Background LCI modelling and impact assessment support,English public documentation,Not publicly confirmed,3.12,2025-11-05,Active; annual updates stated,Public metadata and selected documentation; database access through a licence,ecoinvent licence,Commercial / restricted,Yes for licensed database access; not used in this review,Maintained by ecoinvent Association,Annual database updates publicly stated,"Unit-process LCI data, system-model results, and supporting LCIA outputs",ecoinvent data model,ecoSpold2; additional licensed file exports listed publicly,REST API documented; beta access requires contacting sales and authentication,Not publicly confirmed,UUIDs are used in ecoSpold2,Public overview and change documentation; detailed database metadata in licensed environment,Numbered annual releases and change reports,Public release overview and selected reports; some files restricted to license holders,Data quality guidelines and documented change process are publicly referenced,Not publicly confirmed,Public data quality and change documentation exists; full detail not yet exhaustively reviewed,"Attributional cut-off, APOS and consequential system models are publicly described",Dataset provider information and change documentation are publicly referenced,Not publicly confirmed,Full dataset-level verification requires a licence and was not attempted,ecoSpold2; Brightway; openLCA; openLCA Nexus; SimaPro,native format; software import/distribution,Public Nexus metadata lists ecoinvent 3.12 in all three system models as openLCA zolca and openLCA library packages and states that v3.12 was implemented for openLCA 2.5.0 or newer; historical provider testing remains documented for v3.9.1.,ecoSpold2; provider-listed ecoinvent 3.12 openLCA zolca/library packages for openLCA 2.5.0 or newer; historical provider-tested 3.9.1 package for openLCA 1.11/2.0,"For ecoinvent 3.11 or earlier, Nexus describes mappings to openLCA reference-data elementary flows; from 3.12, original ecoinvent elementary-flow UUIDs are retained without that mapping.",Use public metadata and documented mappings without redistributing licensed content,Licensing and system-model differences constrain reuse and redistribution,https://ecoinvent.org/database/ ; https://support.ecoinvent.org/ecoinvent-version-3.12,https://support.ecoinvent.org/files; https://nexus.openlca.org/ws/files/35296; https://greendelta.github.io/openLCA2-manual/resources/nexus.html; https://nexus.openlca.org/ws/dataproviders/8701; https://nexus.openlca.org/databases,"Official ecoinvent sources identify v3.12 and annual updates. Public Nexus metadata lists v3.12 APOS, cut-off and consequential packages for openLCA 2.5.0 or newer and documents the elementary-flow UUID strategy change.",2026-08-25,High,Independent import/round-trip and calculation tests for the v3.12 packages; exact package schema revision; dataset-level licence and redistribution constraints by use case,Public metadata and provider compatibility claim verified; licensed packages not accessed
LCA-FMT-0001,ecoSpold2,EcoSpold 2; ecoSpold02,Data schema / exchange format,XML-based format used to create and exchange ecoinvent version 3 life cycle inventory content.,ecoinvent Association,ecoinvent Association,https://support.ecoinvent.org/ecospold2,Global,Cross-sector LCA data exchange,LCA database developers and software providers,"Represent UPR, LCI and LCIA information in XML",English documentation,Introduced for ecoinvent version 3 in 2013,Not publicly confirmed,2023-10-30 page date,In operational use; exact schema release status not yet confirmed,Public documentation and schema package,Not publicly confirmed,Publicly downloadable documentation; rights require review,No registration observed for documentation,Developed under ecoinvent with an expert working group and public hearing,Not publicly confirmed,"UPR, LCI and LCIA datasets and master data",XML Schema Definition (XSD),XML,Machine-readable XSD and XML,Not publicly confirmed,UUID references,Mandatory and optional fields defined by the schema,Not publicly confirmed,"Public ZIP contains XSD, XSL and HTML description",Schema validation through XSD,Expert working group and open hearing are publicly described,Dataset Documentation Manual linked publicly,"Designed for all three stages UPR, LCI and LCIA",Not publicly confirmed,Not publicly confirmed,Rights and exact current schema version require confirmation,ecoinvent database; Brightway,native format; import compatibility,Official page says ecoSpold2 is used for ecoinvent v3 and supported by Brightway2.,Brightway2 import publicly documented by ecoinvent; other providers are referenced but not enumerated here,Not publicly confirmed,Schema-based exchange and validation across supporting tools,Provider-specific semantics may remain despite XML compatibility,https://support.ecoinvent.org/ecospold2,Not found,"The official page defines an XML format for ecoinvent v3, with XSD, UUID references and lifecycle-stage coverage.",2026-08-22,High,Current schema release identifier and reuse licence,Public documentation verified
LCA-SW-0001,SimaPro desktop edition,SimaPro Desktop; SimaPro Craft (former name),Software / API / tool,"Commercial desktop software for detailed LCA modelling, analysis and interpretation.",One Click LCA group,SimaPro,https://simapro.com/software/desktop/,Global user base claimed by provider,Cross-sector LCA modelling,"Sustainability professionals, product designers, engineers, researchers and educators","LCA modelling, scenario and uncertainty analysis, footprinting and reporting",13 interface languages publicly listed,35 years of use claimed by provider,10.5,2026-06-30,Active,Commercial software plans; product information publicly accessible,Commercial licence terms,Commercial / restricted,Integrated login required for current desktop releases; not used in this review,SimaPro is part of the One Click LCA group,Not publicly confirmed,"LCA projects, processes, inventory libraries and LCIA methods",Not publicly confirmed,Import/export formats documented separately; not treated as a distinct SimaPro schema asset in this pilot,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Numbered software releases with public release notes,"Public product pages, help centre and release notes",Software features and methods are maintained through releases; detailed QA not yet verified,Not publicly confirmed,Not publicly confirmed,Supports LCA and current LCIA method libraries,Not publicly confirmed,Not publicly confirmed,Use requires licensed access and current versions use authentication,ecoinvent database; USLCI; FEDEFL,bundled data; mapping target,Provider lists ecoinvent and USLCI among included databases; FLCAC documents FEDEFL mappings to SimaPro flows.,Not publicly confirmed,FEDEFL mapping instructions include SimaPro,Documented library and flow mappings can support cross-software exchange,Commercial licensing and software-specific database packaging,https://simapro.com/software/desktop/ ; https://support.simapro.com/en/articles/504757-release-notes-simapro-desktop,https://support.simapro.com/en/collections/968883-simapro-desktop,"Official pages describe commercial LCA software, current release 10.5, included databases and authenticated access.",2026-08-22,High,Current exchange formats and public API availability,Public metadata verified; software not accessed
LCA-SW-0002,Brightway,Brightway LCA Software Framework; Brightway2; Brightway2.5,Software / API / tool,"Open-source Python framework for life cycle assessment with emphasis on flexibility, performance and large datasets.",Brightway developer community,Brightway developers,https://docs.brightway.dev/en/latest/,Global,Cross-sector computational LCA,"Researchers, advanced practitioners, developers and analysts","Programmatic LCA, large-dataset calculations and custom methods",English documentation; Python,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Active documentation and community,Public open-source software and documentation,Open-source; exact component licences to be recorded after repository review,Open,No registration for documentation or source code,Community-developed open-source ecosystem,Not publicly confirmed,"LCA databases, activities, exchanges, methods and calculation results",Not publicly confirmed,Imports multiple LCA formats; ecoSpold2 support publicly stated by ecoinvent,Python package API,Not publicly confirmed,Not publicly confirmed,Not publicly confirmed,Brightway2 and Brightway2.5 compatibility generations documented,"Public documentation, tutorials and live demo",Not publicly confirmed,Open-source repository workflow; exact policy not yet reviewed,Not publicly confirmed,Life cycle assessment computational framework,Not publicly confirmed,Not publicly confirmed,Database licences remain separate from the software; version compatibility needs explicit tracking,ecoinvent database; ecoSpold2,data import; computational use,ecoinvent publicly states Brightway2 imports ecoSpold2.,ecoSpold2 import confirmed; broader matrix pending,Not publicly confirmed,"Scriptable validation, transformation and reproducible calculations",Brightway generation and package-version compatibility,https://docs.brightway.dev/en/latest/,https://support.ecoinvent.org/ecospold2,Official documentation identifies an open-source Python LCA framework designed for large datasets and fast calculations.,2026-08-22,High,Current stable package versions; complete import/export matrix; governance,Public documentation verified
LCA-SW-0003,openLCA,openLCA desktop,Software / API / tool,"Free, open-source desktop software for LCA and sustainability modelling.",GreenDelta GmbH,GreenDelta GmbH,https://www.openlca.org/,Global,Cross-sector LCA and sustainability modelling,"LCA practitioners, researchers, organizations and developers","LCA modelling, analysis, uncertainty, regionalized assessment and data exchange",English website; software localization not fully reviewed,Developed since 2006,2.6.2,Not publicly confirmed,Active,Free software download and public source code,Mozilla Public License 2.0 for GreenDelta-written code,Open software; database licences vary,No registration stated for software download,Developed and maintained by GreenDelta,Not publicly confirmed,"LCA databases, models, results and attachments",openLCA schema / JSON-LD,"zolca, EcoSpold 1, ILCD, JSON-LD, Excel and GeoJSON listed",IPC server using REST/gRPC; scripting interfaces,Not publicly confirmed,Not publicly confirmed,Database and dataset metadata through openLCA schema,Numbered releases and changelog,"Public manual, features and download documentation",Dataset and database validation feature,Not publicly confirmed,Not publicly confirmed,"Supports LCA, social LCA and life cycle costing",Not publicly confirmed,Not publicly confirmed,Data access and reuse depend on each database licence,ecoinvent database; openLCA Nexus; ILCD Data Format; Federal LCA Commons,licensed database compatibility; companion repository; format compatibility; platform dependency,"GreenDelta documents an ecoinvent 3.9.1 implementation for openLCA 1.11 that is compatible with openLCA 2.0; official pages also link openLCA to Nexus, list ILCD import/export, and FLCAC states its platform uses Collaboration Server.","Provider-tested ecoinvent 3.9.1 database packages for openLCA 1.11/2.0; ILCD, JSON-LD, EcoSpold 1 and zolca publicly listed",The ecoinvent 3.9.1 openLCA implementation documents compartment/subcompartment changes and provider-run result comparison; Nexus packages and harmonized reference data; Soda4LCA access,"Open schema, multiple formats and IPC interfaces",Semantic compatibility and data licences vary by source,https://www.openlca.org/about/ ; https://www.openlca.org/features/ ; https://www.openlca.org/download/,https://www.lcacommons.gov/flcac-resources ; https://nexus.openlca.org/ws/files/35296 ; https://greendelta.github.io/openLCA2-manual/resources/nexus.html,"Official pages document MPL 2.0, version 2.6.2, multiple exchange formats, APIs and validation features. A public GreenDelta report verifies an older, version-specific ecoinvent 3.9.1 implementation for openLCA 1.11/2.0.",2026-08-25,High,Release date of version 2.6.2; schema-version alignment across services; current ecoinvent 3.12 distribution compatibility,Public documentation verified
LCA-REP-0001,openLCA Nexus,Nexus,Platform / repository / network,Online repository and discovery service for free and commercial LCA datasets prepared for use with openLCA.,GreenDelta GmbH,GreenDelta GmbH,https://nexus.openlca.org/about,Global,"Multi-provider, multi-sector LCA and sustainability data",LCA data users and openLCA users,"Discover, compare, order and obtain LCA database packages",English,Not publicly confirmed,Not applicable,Not publicly confirmed,Active public catalogue,Public catalogue metadata; free downloads require registration; commercial datasets require ordering,Varies by data provider and package,Mixed free and commercial / restricted,Yes for downloads; not used in this review,Developed and maintained by GreenDelta,Not publicly confirmed,"Database packages, datasets and LCIA methods",openLCA reference data and database packaging,zolca and openLCA database formats publicly described,Not publicly confirmed,Shared elementary flows and reference data are publicly described,Not publicly confirmed,"Search filters by database, year, geography, sector, product and price",Provider-specific database versions,Public about and FAQ pages,Provider-coordinated mild harmonization is described,Not publicly confirmed,Provider documents vary,Repository does not impose one method across all databases,Data-provider attribution is visible in catalogue,Not publicly confirmed,No downloads were attempted because registration or purchase would be required,openLCA; ecoinvent database; Federal LCA Commons,companion repository; distribution; transformed package,Official Nexus page describes openLCA linkage and provider datasets; FLCAC-derived packages are separately offered.,Prepared for openLCA,Mild harmonization and reference-data alignment described,Public catalogue can seed discovery and identify mappings,"Registration, purchase, provider licences and conversion-specific semantics",https://nexus.openlca.org/about,https://nexus.openlca.org/faqs/licence_types ; https://greendelta.github.io/openLCA2-manual/resources/nexus.html ; https://nexus.openlca.org/ws/files/35296,"Nexus publicly describes a mixed-access repository and harmonized packages. The official manual states that Downloads is available after account, order approval and licence acceptance; a public technical report documents an ecoinvent 3.9.1 openLCA distribution.",2026-08-25,High,Public API availability; current dataset counts and version freshness by package,Public catalogue metadata verified; no registration or purchase used
LCA-NET-0001,Global Life Cycle Assessment Data Access network,GLAD,Platform / repository / network,Distributed network of independently operated LCA database nodes for finding and accessing life cycle inventory datasets.,Life Cycle Initiative hosted at UNEP,Life Cycle Initiative / participating nodes,https://www.lifecycleinitiative.org/activities/life-cycle-assessment-in-high-impact-sectors/global-life-cycle-assessment-data-access-network-glad/,Global,Multi-provider life cycle inventory datasets,"LCA data users, providers and software developers","Dataset discovery, metadata search, conversion and access",English public pages,Launched June 2020,Not publicly confirmed,Not publicly confirmed,Active project page; operational status of each node varies,Public project information and search interface; node access conditions may vary,Dataset licences are node/provider-specific,Mixed by node and dataset,Not publicly confirmed at network level,"Co-implemented by UNEP, USDA, EC-JRC, IBICT, openLCA and others",Life Cycle Initiative stewardship stated; node-level stewardship varies,Distributed LCI dataset metadata and access links,Common metadata descriptors; source node formats remain distributed,Conversion into user-selected formats is described,Network interface and node APIs are referenced; exact current public endpoints require validation,Global nomenclature system is linked to GLAM,Not publicly confirmed,Globally agreed metadata descriptors,Not publicly confirmed,Public project and helpdesk documentation,Node requirements and descriptors are documented,Not publicly confirmed,Not publicly confirmed,"Interoperability and access network, not one LCA method",Provider/node identity retained,Not publicly confirmed,"Dataset availability, format conversion and licences vary by node",GLAM; ILCD Data Format; ecoSpold2; national LCA databases,nomenclature linkage; node format compatibility; federation,GLAM page states consistent linkage with GLAD nomenclature; GLAD documentation describes distributed database nodes.,Conversion service described; specific node formats require per-node verification,Common metadata and conversion are core network services,Federated search without centralizing restricted data,"Node heterogeneity, licensing and operational availability",https://www.lifecycleinitiative.org/activities/life-cycle-assessment-in-high-impact-sectors/global-life-cycle-assessment-data-access-network-glad/,https://helpdesk.lifecycleinitiative.org/distribution/glad-node-requirements/,"The official page describes a global distributed network, agreed metadata and dataset search and conversion services.",2026-08-22,High,"Current live node roster, public API status, conversion coverage and dataset count",Public documentation verified
LCA-NET-0002,Life Cycle Data Network,LCDN,Platform / repository / network,Non-centralised European Commission infrastructure for publishing and discovering quality-assured LCA datasets from independent nodes.,European Commission Joint Research Centre,European Platform on Life Cycle Assessment / EC-JRC,https://eplca.jrc.ec.europa.eu/LCDN/developerILCDDataFormat.html,Global-use infrastructure with European Commission governance,LCI datasets and LCIA method datasets,"Dataset owners, national projects, industry, researchers and consultants","Publish, register, search and browse quality-assured LCA datasets",English and EU portal languages,Launched in 2014,Not publicly confirmed,2026-07-16 page update,Active developer page; former Resource Directory is discontinued,Public registry and node browsing; conditions may vary by node,Dataset-specific,Mixed by node,Not publicly confirmed,EC-JRC registry with independently operated nodes,Not publicly confirmed,LCI and LCIA method datasets,ILCD and extended ILCD; Environmental Footprint variants,XML-based ILCD/eILCD,Node and developer interfaces; exact public endpoints pending validation,ILCD and PEF/OEF compliance systems,Not publicly confirmed,Registry metadata and node-hosted datasets,Schema and SDK versions,Public developer tools and schema packages,"Published datasets are stated to meet methodology, documentation and nomenclature requirements",Not publicly confirmed,Compliance-system documentation publicly referenced,ILCD entry-level and PEF/OEF frameworks,Dataset owner publishes through its own node,Not publicly confirmed,Some nodes may not connect to the central network; discontinued Resource Directory is a separate historical service,ILCD Data Format; eILCD SDK; PEF/OEF,schema dependency; registry compliance,EC-JRC pages describe LCDN nodes using ILCD/eILCD and compliance systems.,ILCD/eILCD XML,Look@eILCD analyses native XML without software-specific mapping,Common schema and distributed ownership,Node connectivity and compliance variation,https://eplca.jrc.ec.europa.eu/LCDN/developerILCDDataFormat.html,https://eplca.jrc.ec.europa.eu/ELCD3/,EC-JRC describes a 2014 distributed network for quality-assured LCI and LCIA datasets using ILCD-based tools.,2026-08-22,High,"Current node roster, live registry coverage and API specification",Public documentation verified
LCA-FMT-0002,International Reference Life Cycle Data System data format,ILCD Data Format; eILCD,Data schema / exchange format,"XML schema family for representing LCA datasets and, in extended form, disaggregated datasets and complete life cycle models.",European Commission Joint Research Centre,EC-JRC / European Platform on LCA,https://eplca.jrc.ec.europa.eu/LCDN/developerILCDDataFormat.html,Global-use format,"Cross-sector LCI, LCIA and model datasets","Dataset developers, database operators and LCA software developers",Machine-readable LCA data exchange and validation,English technical documentation,ILCD format originates from the ILCD system; exact initial date not restated here,ILCD 1.1 documentation; eILCD SDK 2.1.1,2026-07-16 developer page update,Active eILCD developer tooling,"Public schemas, SDK and documentation",SDK includes licensing information; detailed terms not yet reviewed,Publicly downloadable technical resources,No registration observed,Maintained by EC-JRC within EPLCA/LCDN,Not publicly confirmed,"Process, flow, LCIA method, source, contact and life cycle model datasets",ILCD/eILCD XML schemas,XML,"XSD, SDK and XML",EF/ILCD nomenclature,UUID-based references are present in ILCD datasets; exact policy pending review,Structured dataset types and reference packages,Format and SDK version numbers,"Public documentation, schemas, stylesheets and sample data",Schema validation and compliance systems,Not publicly confirmed,ILCD compliance documentation available,ILCD and Environmental Footprint modelling requirements,Source and contact dataset types support provenance,Not publicly confirmed,Software-specific terminology may require mapping; format conformance does not ensure methodological equivalence,LCDN; openLCA; eILCD SDK,network schema; software import/export,EC-JRC documents native LCDN tooling; openLCA lists ILCD import/export.,openLCA ILCD import/export publicly confirmed,Look@eILCD avoids mapping to software-specific terms for analysis,Common XML validation and model exchange,Extended variants and nomenclature profiles require version-aware handling,https://eplca.jrc.ec.europa.eu/LCDN/developerILCDDataFormat.html,https://eplca.jrc.ec.europa.eu/LCDN/downloads/ILCD_Format_1.1_Documentation/ILCD_LifeCycleModelDataSet.html,"EC-JRC provides ILCD/eILCD schemas, sample data, SDK tools and a life cycle model dataset type.",2026-08-22,High,Exact licence; compatibility matrix by software and eILCD profile,Public documentation verified
LCA-REP-0002,Federal Life Cycle Assessment Commons,Federal LCA Commons; FLCAC,Platform / repository / network,United States federal portal providing central access to a collection of LCA data repositories.,U.S. Federal LCA Commons agencies,USDA National Agricultural Library with collaborating federal agencies,https://www.lcacommons.gov/,United States; some models may include wider supply-chain coverage,"Multiple federal repositories across energy, agriculture, forestry, transport, buildings and other sectors","LCA practitioners, researchers, agencies and data providers","Discover, browse and obtain public federal LCA repositories",English,Ongoing releases; historical start not yet confirmed,Platform; repository-specific versions,Latest visible release 2026-06-29,Active,Public web browsing and repository downloads; API requires a data.gov key,Repository-specific public terms,Public platform; individual terms vary,No registration observed for public browsing; API key registration required and not used,Multi-agency collaboration,Active federal agency collaboration and recurring releases,"LCA repositories, LCI datasets, LCIA methods and documentation",openLCA schema / Collaboration Server infrastructure,JSON-LD and zolca are visible for some releases; repository-specific options vary,Public API documented; API key required,FEDEFL supports elementary-flow harmonization,Not publicly confirmed,Repository and dataset metadata through Collaboration Server,Repository-specific releases and histories,Public central documentation and repository pages,Central data-submission guidance and FEDEFL harmonization,Federal data curator support is described; repository-specific review varies,Submission handbook and metadata guidance are public,Repository-specific,Agency/repository attribution,Not publicly confirmed,API not used because a key is required; repository methods and quality vary,USLCI; FEDEFL; openLCA Collaboration Server; openLCA Nexus; openLCA,hosts; nomenclature dependency; platform implementation,"Official FLCAC pages identify USLCI, FEDEFL and openLCA Collaboration Server.; Public openLCA Nexus metadata lists LCA Commons with openLCA-oriented groups/packages and formats (https://nexus.openlca.org/ws/dataproviders/9251)",JSON-LD and zolca visible for USLCI releases,FEDEFL mapping resources,"Public repository federation, schema access and flow harmonization",Heterogeneous agency models and API key requirement,https://www.lcacommons.gov/ ; https://www.lcacommons.gov/flcac-resources,https://www.lcacommons.gov/lca-commons-api-guide; https://nexus.openlca.org/ws/dataproviders/9251; https://nexus.openlca.org/databases,"Official pages describe a central federal repository portal, recurring releases, openLCA infrastructure and FEDEFL resources.",2026-08-22,High,Complete live repository roster; per-repository licences and QA; public API metadata scope,Public metadata verified; API not used
