release_record_id,asset_id,asset_name,asset_type,release_line,first_development_release_year,version,release_date,lifecycle_status,predecessor_release,successor_release,release_evidence_urls,evidence_status,evidence_as_of,notes
RLS-0001,LCA-DB-0001,ecoinvent database,Database / dataset,Database family launch,2003,v1,2003,Historical release,None recorded in verified milestone set,v2,https://ecoinvent.org/mission-history/ | https://support.ecoinvent.org/releases-overview,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0002,LCA-DB-0001,ecoinvent database,Database / dataset,Database release,2003,v2,2007,Historical release,v1,v3.0,https://ecoinvent.org/mission-history/ | https://support.ecoinvent.org/releases-overview,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0003,LCA-DB-0001,ecoinvent database,Database / dataset,Major architecture release,2003,v3.0,2013,Historical release,v2,v3.12,https://ecoinvent.org/mission-history/ | https://support.ecoinvent.org/releases-overview,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0004,LCA-DB-0001,ecoinvent database,Database / dataset,Database release,2003,v3.12,2025-11-05,Current release,v3.0,None recorded after evidence cut-off,https://support.ecoinvent.org/hubfs/Comms/2025%20v3.12%20Release/Introduction%20to%20ecoinvent%20v3.12.pdf,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0005,LCA-DB-0002,U.S. Life Cycle Inventory Database,Database / dataset,Development milestone,2003 (project started 2001),Project start,2001,Development milestone,None recorded in verified milestone set,First public database,https://www.lcacommons.gov/releases | https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0006,LCA-DB-0002,U.S. Life Cycle Inventory Database,Database / dataset,Database family launch,2003 (project started 2001),First public database,2003,Historical release,Project start,1.2026-06.0,https://www.lcacommons.gov/releases | https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0007,LCA-DB-0002,U.S. Life Cycle Inventory Database,Database / dataset,Database release,2003 (project started 2001),1.2026-06.0,2026-06-29,Current release,First public database,None recorded after evidence cut-off,https://www.lcacommons.gov/releases | https://github.com/FLCAC-admin/uslci-content/blob/dev/docs/release_info/release-downloads.md,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0008,LCA-DB-0003,Agri-footprint,Database / dataset,Database family launch,2014,v1,2014,Historical release,None recorded in verified milestone set,v3,https://blonksustainability.nl/tools/agri-footprint/bugs | https://blonksustainability.nl/previous-versions-of-agri-footprint-methodology-reports,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0009,LCA-DB-0003,Agri-footprint,Database / dataset,Database release,2014,v3,2017,Historical release,v1,v4,https://blonksustainability.nl/tools/agri-footprint/bugs | https://blonksustainability.nl/previous-versions-of-agri-footprint-methodology-reports,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
RLS-0010,LCA-DB-0003,Agri-footprint,Database / dataset,Database release,2014,v4,2018,Historical release,v3,v5,https://blonksustainability.nl/tools/agri-footprint/bugs | https://blonksustainability.nl/previous-versions-of-agri-footprint-methodology-reports,Verified public milestone; official/provider or formal project source,2026-08-22,Milestone history: intervening minor releases may exist unless the official source enumerates every release.
