asset_organization_id,asset_id,organization_id,relationship_type,original_public_label
AO-00001,LCA-DB-0001,ORG-0098,owner,ecoinvent Association
AO-00002,LCA-DB-0001,ORG-0098,operator/maintainer,ecoinvent Association
AO-00003,LCA-FMT-0001,ORG-0098,owner,ecoinvent Association
AO-00004,LCA-FMT-0001,ORG-0098,operator/maintainer,ecoinvent Association
AO-00005,LCA-REP-0001,ORG-0173,owner,GreenDelta GmbH
AO-00006,LCA-REP-0001,ORG-0173,operator/maintainer,GreenDelta GmbH
AO-00007,LCA-NET-0001,ORG-0245,owner,Life Cycle Initiative hosted at UNEP
AO-00008,LCA-NET-0001,ORG-0243,operator/maintainer,Life Cycle Initiative / participating nodes
AO-00009,LCA-NET-0002,ORG-0120,owner,European Commission Joint Research Centre
AO-00010,LCA-NET-0002,ORG-0129,operator/maintainer,European Platform on Life Cycle Assessment / EC-JRC
AO-00011,LCA-FMT-0002,ORG-0120,owner,European Commission Joint Research Centre
AO-00012,LCA-FMT-0002,ORG-0089,operator/maintainer,EC-JRC / European Platform on LCA
AO-00013,LCA-REP-0002,ORG-0352,owner,U.S. Federal LCA Commons agencies
AO-00014,LCA-REP-0002,ORG-0367,operator/maintainer,USDA National Agricultural Library with collaborating federal agencies
AO-00015,LCA-DB-0002,ORG-0350,owner,U.S. Department of Energy / National Laboratory of the Rockies
AO-00016,LCA-DB-0002,ORG-0259,operator/maintainer,National Laboratory of the Rockies on Federal LCA Commons
AO-00017,LCA-NOM-0001,ORG-0353,owner,U.S. Federal LCA Commons partners
AO-00018,LCA-NOM-0001,ORG-0142,operator/maintainer,FLCAC administrators; development resources hosted publicly
AO-00019,LCA-MTH-0001,ORG-0245,owner,Life Cycle Initiative hosted at UNEP
AO-00020,LCA-MTH-0001,ORG-0247,operator/maintainer,Life Cycle Initiative with scientific partners
AO-00021,LCA-STD-0001,ORG-0211,owner,International Organization for Standardization
AO-00022,LCA-STD-0001,ORG-0218,operator/maintainer,ISO/TC 207/SC 5
AO-00023,LCA-DB-0003,ORG-0250,owner,Mérieux NutriSciences | Blonk
AO-00024,LCA-DB-0003,ORG-0250,operator/maintainer,Mérieux NutriSciences | Blonk
AO-00025,LCA-DB-0004,ORG-0003,owner,ADEME
AO-00026,LCA-DB-0004,ORG-0004,operator/maintainer,ADEME and programme partners
AO-00027,LCA-DB-0005,ORG-0325,owner,Swiss Federal Office for the Environment (FOEN/BAFU)
AO-00028,LCA-DB-0005,ORG-0143,operator/maintainer,FOEN/BAFU and commissioned technical partners
AO-00029,LCA-DB-0006,ORG-0037,owner,Carbon Minds
AO-00030,LCA-DB-0006,ORG-0037,operator/maintainer,Carbon Minds
AO-00031,LCA-DB-0007,ORG-0134,owner,EXIOBASE consortium
AO-00032,LCA-DB-0007,ORG-0135,operator/maintainer,EXIOBASE research consortium; current releases distributed on Zenodo
AO-00033,LCA-DB-0008,ORG-0258,owner,National Institute of Advanced Industrial Science and Technology (AIST)
AO-00034,LCA-DB-0008,ORG-0007,operator/maintainer,AIST-IDEA programme and AIST Solutions licensing service
AO-00035,LCA-DB-0009,ORG-0100,owner,ENEA
AO-00036,LCA-DB-0009,ORG-0101,operator/maintainer,ENEA; ARCADIA and successor MASE–ENEA programme
AO-00037,LCA-DB-0010,ORG-0362,owner,US Environmental Protection Agency
AO-00038,LCA-DB-0010,ORG-0365,operator/maintainer,US EPA research team
AO-00039,LCA-STD-0002,ORG-0211,owner,International Organization for Standardization
AO-00040,LCA-STD-0002,ORG-0218,operator/maintainer,ISO/TC 207/SC 5
AO-00041,LCA-STD-0003,ORG-0211,owner,International Organization for Standardization
AO-00042,LCA-STD-0003,ORG-0219,operator/maintainer,ISO/TC 207/SC 7
AO-00043,LCA-MTH-0002,ORG-0086,owner,Dutch National Institute for Public Health and the Environment (RIVM) and method authors
AO-00044,LCA-MTH-0002,ORG-0300,operator/maintainer,RIVM public distribution
AO-00045,LCA-MTH-0003,ORG-0119,owner,European Commission
AO-00046,LCA-MTH-0003,ORG-0083,operator/maintainer,Directorate-General for Environment and Joint Research Centre
AO-00047,LCA-MTH-0004,ORG-0119,owner,European Commission
AO-00048,LCA-MTH-0004,ORG-0084,operator/maintainer,Directorate-General for Research and Innovation and Joint Research Centre
AO-00049,LCA-DB-0011,ORG-0317,owner,Sphera
AO-00050,LCA-DB-0011,ORG-0317,operator/maintainer,Sphera
AO-00051,LCA-DB-0012,ORG-0338,owner,TianGong community
AO-00052,LCA-DB-0012,ORG-0339,operator/maintainer,TianGong LCA Data Working Group and platform community
AO-00053,LCA-PLT-0001,ORG-0338,owner,TianGong community
AO-00054,LCA-PLT-0001,ORG-0341,operator/maintainer,TianGong platform developers
AO-00055,LCA-SYS-0001,ORG-0342,owner,TianGong project / Carbon Footprint Industry Alliance ecosystem
AO-00056,LCA-SYS-0001,ORG-0343,operator/maintainer,TIDAS development community
AO-00057,LCA-NOM-0002,ORG-0025,owner,BONSAI community
AO-00058,LCA-NOM-0002,ORG-0027,operator/maintainer,BONSAI network/contributors
AO-00059,LCA-NOM-0003,ORG-0290,owner,Project author/community repository
AO-00060,LCA-NOM-0003,ORG-0344,operator/maintainer,tishchungoora/lca-ontology repository maintainer
AO-00061,LCA-NOM-0004,ORG-0234,owner,LCA to BIM Workflow research project
AO-00062,LCA-NOM-0004,ORG-0303,operator/maintainer,RWTH design-computation project contributors
AO-00063,LCA-DB-0013,ORG-0003,owner,ADEME
AO-00064,LCA-DB-0013,ORG-0003,operator/maintainer,ADEME
AO-00065,LCA-NOM-0005,ORG-0144,owner,Food and Agriculture Organization of the United Nations (FAO) and contributing language institutions
AO-00066,LCA-NOM-0005,ORG-0137,operator/maintainer,FAO-coordinated expert and institutional community
AO-00067,LCA-MTH-0005,ORG-0383,owner,WULCA working group / UNEP-SETAC Life Cycle Initiative community
AO-00068,LCA-MTH-0005,ORG-0382,operator/maintainer,WULCA
AO-00069,LCA-DB-0014,ORG-0016,owner,Australian Life Cycle Assessment Society (ALCAS)
AO-00070,LCA-DB-0014,ORG-0015,operator/maintainer,AusLCI Database Committee and sector partners
AO-00071,LCA-DB-0015,ORG-0160,owner,"German Federal Ministry for Housing, Urban Development and Building (BMWSB) / Federal Institute for Research on Building, Urban Affairs and Spatial Development (BBSR)"
AO-00072,LCA-DB-0015,ORG-0021,operator/maintainer,BBSR and commissioned technical operators
AO-00073,LCA-NET-0003,ORG-0090,owner,ECO Platform AISBL
