relationship_id,source_asset_id,source_asset_name,source_resolution,target_asset_id,target_asset_name,target_resolution,relationship_type,status,evidence,constraints,validation_question,mapping_artifact_id
REL-0001,LCA-DB-0001,ecoinvent database,Exact asset-name match,LCA-FMT-0001,ecoSpold2,Exact asset-name match,native data format,Confirmed,ecoinvent states ecoSpold2 is used to create inventories for version 3.,Licence governs data reuse.,Confirm current schema release identifier.,
REL-0002,LCA-SW-0002,Brightway,Exact asset-name match,LCA-FMT-0001,ecoSpold2,Exact asset-name match,import compatibility,Confirmed,ecoinvent states Brightway2 supports ecoSpold2 import.,Version-specific behavior not yet tested.,Which Brightway generations support which schema revisions?,MAP-0006
REL-0003,LCA-SW-0001,SimaPro desktop edition,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,bundled/licensed database,Confirmed,SimaPro publicly lists ecoinvent among included databases.,Licence and plan determine access.,Record exact library versions by SimaPro release.,
REL-0004,LCA-REP-0001,openLCA Nexus,Exact asset-name match,LCA-SW-0003,openLCA,Exact asset-name match,companion repository,Confirmed,Nexus describes data packages prepared for openLCA.,Registration or purchase is required for downloads.,Is a public catalogue API available?,
REL-0005,LCA-SW-0003,openLCA,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,import/export compatibility,Confirmed,openLCA features page lists ILCD import and export.,Semantic profiles may differ.,Validate eILCD and ILCD+EPD support separately.,
REL-0006,,Federal LCA Commons,External or unresolved endpoint,LCA-SW-0003,openLCA,Exact asset-name match,platform dependency,Confirmed,FLCAC states the platform is based on openLCA Collaboration Server.,Server and desktop are distinct components.,Record Collaboration Server version and schema.,
REL-0007,,Federal LCA Commons,External or unresolved endpoint,,FEDEFL,External or unresolved endpoint,nomenclature dependency,Confirmed,FLCAC identifies FEDEFL as its harmonization flow list.,Mappings may be version-specific.,Capture release and persistent identifiers.,
REL-0008,,USLCI,External or unresolved endpoint,,Federal LCA Commons,External or unresolved endpoint,hosted repository,Confirmed,FLCAC hosts the public USLCI repository.,Repository-level terms apply.,Confirm licence and dataset review metadata.,
REL-0009,,USLCI,External or unresolved endpoint,,FEDEFL,External or unresolved endpoint,flow harmonization,Confirmed at platform level,FLCAC resources link USLCI and FEDEFL harmonization guidance.,Per-dataset alignment may vary.,Measure proportion mapped to current FEDEFL.,
REL-0010,,GLAM,External or unresolved endpoint,,GLAD,External or unresolved endpoint,nomenclature and LCI-LCIA linkage,Confirmed,GLAM page states consistent linkage with GLAD nomenclature for software implementation.,Implementation coverage is not yet verified.,Which software already implements the mapping?,
REL-0011,,LCDN,External or unresolved endpoint,,ILCD Data Format,External or unresolved endpoint,schema dependency,Confirmed,EC-JRC provides ILCD/eILCD tools for LCDN publication and analysis.,Multiple compliance profiles exist.,"Separate ILCD, eILCD and EF profiles in final model?",
REL-0012,,FEDEFL,External or unresolved endpoint,,SimaPro/openLCA/ecoinvent flow lists,External or unresolved endpoint,mapping,Confirmed,FLCAC publishes mapping instructions for these third-party flow lists.,Mapping completeness and versions need audit.,"Capture files, versions and coverage metrics.",
REL-0013,LCA-DB-0004,AGRIBALYSE,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,background data dependency,Confirmed,ADEME documents ecoinvent background processes and licence conditions.,ecoinvent rights constrain full LCI use.,Track background database version per AGRIBALYSE release.,
REL-0014,LCA-DB-0003,Agri-footprint,Exact asset-name match,LCA-MTH-0002,ReCiPe 2016,Exact asset-name match,method implementation,Confirmed,Provider states version 7 was developed using ReCiPe 2016 Midpoint H.,Method implementation and flow mapping may be version-specific.,Capture characterization package version.,
REL-0015,LCA-DB-0005,BAFU:2025 life cycle inventory database,Exact asset-name match,LCA-REP-0001,openLCA Nexus,Exact asset-name match,distribution,Confirmed,FOEN publications cite the Nexus BAFU catalogue as the publication channel.,Nexus registration required for package download.,Confirm package format and full licence.,
REL-0016,LCA-DB-0009,Banca Dati Italiana LCA,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,schema dependency,Confirmed,Public dataset metadata records ILCD format 1.1 and UUID/version fields.,Full exchanges require registration.,Audit stock-level compliance profiles.,
REL-0017,LCA-DB-0009,Banca Dati Italiana LCA,Exact asset-name match,,LCDN,External or unresolved endpoint,network node,Confirmed,ENEA operates a soda4LCA/ILCD-style node designed for LCDN publication.,Node stocks can have different access conditions.,Confirm current central registration status.,
REL-0018,,USEEIO,External or unresolved endpoint,LCA-DB-0007,EXIOBASE 3,Exact asset-name match,import emission factors,Confirmed for selected variants,Current useeior releases describe EXIOBASE import-emission-factor integration.,Only selected model variants use this input.,Record exact USEEIO model specification.,
REL-0019,LCA-SW-0005,Sphera LCA for Experts,Exact asset-name match,LCA-DB-0011,Sphera Managed LCA Content,Exact asset-name match,companion software/content,Confirmed,Sphera presents the software and managed content as separate but integrated offerings.,Commercial licences apply.,Capture version compatibility by annual release.,
REL-0020,LCA-PLT-0001,TianGong LCA Platform,Exact asset-name match,,TIDAS,External or unresolved endpoint,native data system,Confirmed,Official documentation states the platform is built on TIDAS.,Independent conformance testing not completed.,Which platform release implements which schema release?,
REL-0021,LCA-DB-0012,TianGong LCA Database,Exact asset-name match,LCA-PLT-0001,TianGong LCA Platform,Exact asset-name match,hosted/reference data,Confirmed,Official pages distinguish the reference database from the platform used to create and access it.,Account conditions vary by action.,Record dataset-level licence and review status.,
REL-0022,LCA-MTH-0003,Product Environmental Footprint method,Exact asset-name match,,ILCD/eILCD format family,External or unresolved endpoint,implementation profile,Confirmed at programme level,EC developer resources provide EF-compliant data-format profiles and nodes through EPLCA/LCDN.,Profile/version granularity remains open.,Model EF data format as a profile or separate asset?,
REL-0023,LCA-NOM-0002,BONSAI Core Ontology,Exact asset-name match,LCA-DB-0007,EXIOBASE 3,Exact asset-name match,semantic modelling/use case,Documented,BONSAI research uses industrial-ecology data including EXIOBASE to test semantic modelling.,Research demonstration does not prove production interoperability.,Which current releases are mapped?,
REL-0024,LCA-NOM-0004,LCABIM ontology stack,Exact asset-name match,,ILCD/eILCD format family,External or unresolved endpoint,semantic import/mapping,Confirmed,LCABIM publishes an ILCD core module and indicator vocabularies.,Draft status and construction scope.,Validate round-trip data fidelity.,
REL-0025,LCA-SW-0006,Lavoisier,Exact asset-name match,LCA-FMT-0001,ecoSpold2,Exact asset-name match,bidirectional conversion support,Confirmed,The official repository and 2026 paper document EcoSpold 2 input/output conversion.,Some EcoSpold-specific metadata and reference-list constraints can cause incomplete conversion.,Record the exact ecoSpold2 schema and elementary-flow-list versions used by each release.,MAP-0001
REL-0026,LCA-SW-0006,Lavoisier,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,bidirectional conversion support,Confirmed,The official repository and 2026 paper document ILCD 1 input/output conversion.,The implementation does not yet cover the full eILCD model scope and some target-format fields have no equivalent.,Track ILCD/eILCD profile support by stable software release.,
REL-0027,LCA-SW-0006,Lavoisier,Exact asset-name match,,GLAD network,External or unresolved endpoint,elementary-flow mapping dependency,Confirmed for the published implementation,The paper and repository state that GLAD elementary-flow mapping files support conversions between the referenced flow lists.,Mapping completeness and reference-list versions constrain results.,Capture the exact GLAD mapping release and coverage metrics used in each conversion pathway.,
REL-0028,LCA-DB-0013,Base Empreinte®,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,background-data and licence dependency,Confirmed,ADEME states that newer multicriteria data are progressively sourced from ecoinvent and publishes specific reuse limits.,Reuse and software redistribution depend on ecoinvent-derived content.,Record source/licence at dataset level.,
REL-0029,LCA-DB-0015,ÖKOBAUDAT,Exact asset-name match,LCA-FMT-0003,ILCD+EPD data format,Exact asset-name match,native exchange format,Confirmed,The federal download page states that ÖKOBAUDAT uses ILCD+EPD and publishes matching developer and validation resources.,Profiles and maintenance releases must match.,Record format/profile per database release.,
REL-0030,LCA-DB-0015,ÖKOBAUDAT,Exact asset-name match,LCA-STD-0004,EN 15804:2012+A2:2019+AC:2021,Exact asset-name match,conformance requirement,Confirmed,ÖKOBAUDAT admission principles and validation profiles require EN 15804-aligned EPD data.,National profile requirements extend the standard.,Separate standard conformance from ÖKOBAUDAT-specific admission rules.,
REL-0031,LCA-REP-0003,ECO Portal,Exact asset-name match,LCA-NET-0003,ECO Platform,Exact asset-name match,governed repository,Confirmed,ECO Platform presents the portal as its digital EPD access service federating recognized programme nodes.,Portal and node terms differ.,Capture node and programme provenance for every dataset.,
REL-0032,LCA-FMT-0003,ILCD+EPD data format,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,format extension/profile,Confirmed,BBSR describes ILCD+EPD as an ILCD-based format extended for EN 15804.,Several profiles and maintenance releases coexist.,Maintain a version-compatibility matrix.,
REL-0033,LCA-STD-0004,EN 15804:2012+A2:2019+AC:2021,Exact asset-name match,LCA-STD-0005,ISO 14025:2026,Exact asset-name match,sector-specific standard dependency,Confirmed at standards-family level,EN 15804 provides construction-sector core PCR rules within the Type III EPD framework governed by ISO 14025.,Programme transition to ISO 14025:2026 may not be immediate.,Track programme adoption dates.,
REL-0034,LCA-FMT-0004,openLCA schema,Exact asset-name match,LCA-SW-0003,openLCA,Exact asset-name match,native data exchange format,Confirmed,GreenDelta defines openLCA schema as the exchange format supporting all openLCA modelling features.,Schema and application versions are coupled.,Capture supported schema version per application release.,MAP-0005
REL-0035,,ILCD Handbook,External or unresolved endpoint,LCA-STD-0002,ISO 14040:2006,Exact asset-name match,method elaboration,Confirmed,JRC states that detailed ILCD guidance is based on and conforms to ISO 14040/14044.,Some guidance predates current EU programme profiles.,Record which handbook component each programme still references.,
REL-0036,,ILCD Handbook,External or unresolved endpoint,LCA-STD-0007,ISO 14044:2006,Exact asset-name match,method elaboration,Confirmed,JRC states that detailed ILCD guidance is based on and conforms to ISO 14040/14044.,Some guidance predates current EU programme profiles.,Record which handbook component each programme still references.,
REL-0037,LCA-DB-0016,European Reference Life Cycle Database,Exact asset-name match,,ILCD Data Format,External or unresolved endpoint,legacy implementation/reference package,Confirmed,ELCD was distributed as an ILCD package and its surviving flow/method resources remain used in the ILCD entry-level scheme.,Process datasets are obsolete.,Do not treat legacy process data as current background data.,
REL-0038,LCA-DB-0017,GFLI Database,Exact asset-name match,LCA-MTH-0008,GFLI Methodology and Procedures for Data Projects,Exact asset-name match,governing methodology,Confirmed,GFLI explicitly aligns major methodology and database version numbers.,Database access remains separately licensed.,Cite both versions in every use.,
REL-0039,LCA-DB-0017,GFLI Database,Exact asset-name match,LCA-DB-0003,Agri-footprint,Exact asset-name match,background-data/input dependency,Documented for v3.0,The GFLI v3.0 dataset overview identifies Agri-footprint 7.0 as a source for default-model datasets.,Coverage varies by ingredient and source project.,Record source and background version per dataset.,
REL-0040,LCA-PLT-0002,HESTIA Data Platform,Exact asset-name match,LCA-FMT-0005,HESTIA Data Standard,Exact asset-name match,native data model,Confirmed,HESTIA stores and distributes platform entities using its linked data standard.,Release and schema evolution need version pairing.,Record schema/release identifiers together.,
REL-0041,LCA-PLT-0002,HESTIA Data Platform,Exact asset-name match,LCA-SW-0008,HESTIA Calculation Models,Exact asset-name match,native calculation engine,Confirmed,Platform releases recalculate public data with the current HESTIA model set.,Newer model sets can change impact results.,Preserve release and model-engine provenance.,
REL-0042,LCA-PLT-0002,HESTIA Data Platform,Exact asset-name match,LCA-SW-0003,openLCA,Exact asset-name match,direct software integration,Experimental but documented,openLCA 2.6+ includes an experimental HESTIA client for importing Cycles through the API.,Account/token is needed in the client and compatibility is release-specific.,Track openLCA and HESTIA release pairings.,
REL-0043,LCA-NET-0004,Greenhouse Gas Protocol,Exact asset-name match,LCA-MTH-0009,GHG Protocol Product Life Cycle Accounting and Reporting Standard,Exact asset-name match,governs/develops,Confirmed,GHG Protocol publishes and maintains the Product Standard through its multi-stakeholder governance.,A joint ISO revision is underway.,Track successor publication and transition.,
REL-0044,LCA-MTH-0009,GHG Protocol Product Life Cycle Accounting and Reporting Standard,Exact asset-name match,LCA-STD-0003,ISO 14067:2018,Exact asset-name match,related product-carbon-footprint standards,Confirmed at standards-programme level,Both govern product-level GHG quantification and are now subject to joint harmonization work.,Current requirements are not identical.,Maintain a clause-level compatibility assessment.,
REL-0045,LCA-MTH-0010,IMPACT World+,Exact asset-name match,LCA-MTH-0005,AWARE,Exact asset-name match,method component,Confirmed for current Footprint version,IMPACT World+ states that its water-scarcity footprint indicator uses AWARE 2.0.,AWARE version and regional flow mapping matter.,Record component version in every IW+ package.,
REL-0046,LCA-SW-0009,Ecochain LCA automation software,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,integrated background database,Confirmed by provider,Ecochain states that current ecoinvent versions are available in the software.,Commercial terms and version compatibility apply.,Capture database/method combinations per workspace.,
REL-0047,LCA-QA-0001,ecoinvent Data Quality Guidelines and pedigree matrix,Exact asset-name match,LCA-DB-0001,ecoinvent database,Exact asset-name match,governs/validates,Confirmed,"ecoinvent describes the guidelines as the cornerstone methodology for version 3 modelling, review and uncertainty.",Primarily database-specific.,Link each database release to its applicable guideline edition.,
REL-0048,LCA-FMT-0006,EcoSpold 1,Exact asset-name match,LCA-FMT-0001,ecoSpold2,Exact asset-name match,predecessor/successor,Confirmed,EcoSpold 1 is a legacy predecessor and ecoSpold2 is the current ecoinvent exchange format.,Feature sets are not equivalent.,Use explicit conversion and loss reporting.,
REL-0049,LCA-NOM-0006,FoodOn Food Ontology,Exact asset-name match,LCA-FMT-0005,HESTIA Data Standard,Exact asset-name match,domain vocabulary alignment opportunity,Potential / requires verification,"Both provide structured food/agricultural terminology, but a complete official mapping was not confirmed.",Do not infer equivalence without published mappings.,Search for maintained crosswalks and record coverage.,
REL-0050,LCA-DB-0018,World Food LCA Database,Exact asset-name match,,eQosphere,External or unresolved endpoint,software distribution,Confirmed,Quantis states that WFLDB is accessed through eQosphere.,Commercial licence applies.,Capture release compatibility and licence.,
