organization_id,preferred_label,entity_type,normalization_status
ORG-0001,2050 Materials,Company,Actor and role resolved from reviewed public evidence
ORG-0002,22-partner consortium,Not typed in this review,Exact public label
ORG-0003,ADEME,Not typed in this review,Exact public label
ORG-0004,ADEME and programme partners,Not typed in this review,Composite public label—review before splitting
ORG-0005,ADEME-led nine-partner consortium,Not typed in this review,Exact public label
ORG-0006,Advanced Manufacturing Research Centre (AMRC),University / research institution,Actor and role resolved from reviewed public evidence
ORG-0007,AIST-IDEA programme and AIST Solutions licensing service,Not typed in this review,Composite public label—review before splitting
ORG-0008,Alliance HQE-GBC and INIES governance bodies,Not typed in this review,Composite public label—review before splitting
ORG-0009,Altermaker,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0010,Ansys,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0011,aPriori,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0012,Argonne National Laboratory,University / research institution,Actor and role resolved from reviewed public evidence
ORG-0013,ASUENE Inc.,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0014,Athena Sustainable Materials Institute,Nonprofit / industry organization,Actor and role resolved from reviewed public evidence
ORG-0015,AusLCI Database Committee and sector partners,Not typed in this review,Composite public label—review before splitting
ORG-0016,Australian Life Cycle Assessment Society (ALCAS),Not typed in this review,Exact public label
ORG-0017,Avery Dennison Corporation,Company,Official site identifies atma.io as an Avery Dennison digital venture and trademark
ORG-0018,BACUTI,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0019,BATTERS,Not typed in this review,Exact public label
ORG-0020,BATTERS / WELOOP experts,Not typed in this review,Composite public label—review before splitting
ORG-0021,BBSR and commissioned technical operators,Not typed in this review,Composite public label—review before splitting
ORG-0022,BBSR-linked technical maintainers and data-network implementers,Not typed in this review,Composite public label—review before splitting
ORG-0023,BioEnergieDat project consortium,Not typed in this review,Exact public label
ORG-0024,BMWSB/BBSR and InData/ECO Platform technical community,Not typed in this review,Composite public label—review before splitting
ORG-0025,BONSAI community,Not typed in this review,Exact public label
ORG-0026,BONSAI data contributors and projects,Not typed in this review,Composite public label—review before splitting
ORG-0027,BONSAI network/contributors,Not typed in this review,Composite public label—review before splitting
ORG-0028,BONSAI not-for-profit association,Not typed in this review,Exact public label
ORG-0029,"BONSAI secretariat, board and contributor network",Not typed in this review,Composite public label—review before splitting
ORG-0030,"Booost, Inc.",Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0031,Building Transparency,Nonprofit / industry organization,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0032,Bureau Veritas CODDE,Not typed in this review,Exact public label
ORG-0033,C.Scale,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0034,carbmee,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0035,Carboledger Inc.,Company,Legal entity resolved from official terms
ORG-0036,Carbon Maps SAS,Company,Legal entity resolved from official terms
ORG-0037,Carbon Minds,Not typed in this review,Exact public label
ORG-0038,CarbonBright AI,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0039,Carbonfact science team,Not typed in this review,Exact public label
ORG-0040,CarbonSmart,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0041,Carbonstop,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0042,CarbonTrail Tech LLP,Company,Legal entity resolved from official privacy notice
ORG-0043,Cascale,Nonprofit / industry organization,Actor and role resolved from reviewed public evidence
ORG-0044,Catena-X Automotive Network e.V.,Not typed in this review,Exact public label
ORG-0045,Catena-X PCF working groups,Not typed in this review,Exact public label
ORG-0046,Catena-X PCF/data-model working groups,Not typed in this review,Composite public label—review before splitting
ORG-0047,CEN/TC 350 and national standards bodies,Not typed in this review,Composite public label—review before splitting
ORG-0048,CEPE LCI project,Not typed in this review,Exact public label
ORG-0049,Chalmers University of Technology-led DeDuCE team,Not typed in this review,Exact public label
ORG-0050,"Chalmers University of Technology, Environmental Systems Analysis",Not typed in this review,Exact public label
ORG-0051,Chris Mutel,Individual,Actor and role resolved from reviewed public evidence
ORG-0052,Christian Kongsgaard,Individual,Actor and role resolved from reviewed public evidence
ORG-0053,CIRAIG / POLARIIS+ collaboration,Not typed in this review,Composite public label—review before splitting
ORG-0054,CIRAIG / project contributors,Not typed in this review,Composite public label—review before splitting
ORG-0055,CIRAIG OpenIO-Canada contributors,Not typed in this review,Exact public label
ORG-0056,CIRAIG Sustainable Consumption Chair,Not typed in this review,Exact public label
ORG-0057,CIRAIG with ecoinvent,Not typed in this review,Exact public label
ORG-0058,Circular Ecology,Not typed in this review,Exact public label
ORG-0059,CircularTree,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0060,CIRPASS-2 and partner initiatives,Not typed in this review,Composite public label—review before splitting
ORG-0061,CIRPASS-2 European project,Not typed in this review,Exact public label
ORG-0062,Cirrus Nexus,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0063,CLIC Innovation / ARVI research programme,Not typed in this review,Composite public label—review before splitting
ORG-0064,Climate Farm Demo consortium,Not typed in this review,Exact public label
ORG-0065,ClimateCamp BV,Company,Legal entity resolved from official privacy notice
ORG-0066,ClimatePartner,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0067,ClimatePoint,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0068,Climatiq GmbH,Company,Actor and role resolved from reviewed public evidence
ORG-0069,CML-IE; public resources are now largely archival,Not typed in this review,Composite public label—review before splitting
ORG-0070,CO2 AI SAS,Company,Legal entity resolved from official terms
ORG-0071,Consortium for Research on Renewable Industrial Materials (CORRIM),Not typed in this review,Exact public label
ORG-0072,Cornerstone Sustainability Data Initiative,Not typed in this review,Exact public label
ORG-0073,CORRIM and Federal LCA Commons,Not typed in this review,Composite public label—review before splitting
ORG-0074,Dassault Systèmes,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0075,Daylight Chemical Information Systems (original specification); multiple later dialects,Not typed in this review,Composite public label—review before splitting
ORG-0076,Daylight for original specification; distributed implementer community,Not typed in this review,Composite public label—review before splitting
ORG-0077,DdS board and staff,Not typed in this review,Composite public label—review before splitting
ORG-0078,DdS platform and data engineering team,Not typed in this review,Composite public label—review before splitting
ORG-0079,DeDuCE research team and partners,Not typed in this review,Composite public label—review before splitting
ORG-0080,Delta Electronics,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0081,Départ de Sentier,Not typed in this review,Exact public label
ORG-0082,Départ de Sentier association,Not typed in this review,Exact public label
ORG-0083,Directorate-General for Environment and Joint Research Centre,Not typed in this review,Composite public label—review before splitting
ORG-0084,Directorate-General for Research and Innovation and Joint Research Centre,Not typed in this review,Composite public label—review before splitting
ORG-0085,Distributed historically through openLCA Nexus,Not typed in this review,Exact public label
ORG-0086,Dutch National Institute for Public Health and the Environment (RIVM) and method authors,Not typed in this review,Composite public label—review before splitting
ORG-0087,EarthShift Global,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0088,Eaternity,Nonprofit / industry organization,Actor and role resolved from reviewed public evidence
ORG-0089,EC-JRC / European Platform on LCA,Not typed in this review,Composite public label—review before splitting
ORG-0090,ECO Platform AISBL,Not typed in this review,Exact public label
ORG-0091,ECO Platform and connected EPD programme-operator nodes,Not typed in this review,Composite public label—review before splitting
ORG-0092,ECO Platform members and secretariat,Not typed in this review,Composite public label—review before splitting
ORG-0093,Eco-Bat,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0094,eco-costs/value maintainers,Not typed in this review,Composite public label—review before splitting
ORG-0095,Ecochain Technologies B.V.,Company,Actor and role resolved from reviewed public evidence
ORG-0096,Ecodigit,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0097,ecoinvent / former EcoSpold development community,Not typed in this review,Composite public label—review before splitting
ORG-0098,ecoinvent Association,Not typed in this review,Exact public label
ORG-0099,ECOSPEED,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0100,ENEA,Not typed in this review,Exact public label
ORG-0101,ENEA; ARCADIA and successor MASE–ENEA programme,Not typed in this review,Composite public label—review before splitting
ORG-0102,EPD Australasia,Not typed in this review,Exact public label
ORG-0103,EPD Australasia Ltd,Not typed in this review,Exact public label
ORG-0104,EPD International AB,Not typed in this review,Exact public label
ORG-0105,EPDItaly,Not typed in this review,Exact public label
ORG-0106,ERASM,Not typed in this review,Exact public label
ORG-0107,ERASM member-company collaboration,Not typed in this review,Exact public label
ORG-0108,"ERG, Stanford and Watershed-supported initiative",Not typed in this review,Composite public label—review before splitting
ORG-0109,ESGpedia Pte Ltd,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0110,ESU-services and contributing authors,Not typed in this review,Composite public label—review before splitting
ORG-0111,ESU-services Ltd.,Not typed in this review,Exact public label
ORG-0112,"ETH Zurich, Chair of Ecological Systems Design",University / research institution,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0113,eTool,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0114,EUDPP ontology contributors via DPP Vocabulary Hub,Not typed in this review,Exact public label
ORG-0115,EuGeos / Chris Foster,Not typed in this review,Composite public label—review before splitting
ORG-0116,Eurobitume,Not typed in this review,Exact public label
ORG-0117,EUROFER Stainless,Not typed in this review,Exact public label
ORG-0118,European Aluminium,Nonprofit / industry organization,Actor and role resolved from reviewed public evidence
ORG-0119,European Commission,Not typed in this review,Exact public label
ORG-0120,European Commission Joint Research Centre,Not typed in this review,Exact public label
ORG-0121,European Commission Joint Research Centre and Directorate-General for Environment,Not typed in this review,Composite public label—review before splitting
ORG-0122,European Commission Joint Research Centre and Environmental Footprint governance,Not typed in this review,Composite public label—review before splitting
ORG-0123,European Commission-funded NEEDS project consortium,Not typed in this review,Exact public label
ORG-0124,European Committee for Standardization (CEN),Not typed in this review,Exact public label
ORG-0125,European Container Glass Federation (FEVE),Not typed in this review,Exact public label
ORG-0126,"European Council of the Paint, Printing Ink and Artists' Colours Industry (CEPE)",Not typed in this review,Composite public label—review before splitting
ORG-0127,European LIFE programme consortium,Not typed in this review,Exact public label
ORG-0128,European Platform on Life Cycle Assessment,Not typed in this review,Exact public label
ORG-0129,European Platform on Life Cycle Assessment / EC-JRC,Not typed in this review,Composite public label—review before splitting
ORG-0130,European Platform on Life Cycle Assessment / JRC,Not typed in this review,Composite public label—review before splitting
ORG-0131,Evah Associates,Not typed in this review,Exact public label
ORG-0132,Evalue8 Sustainability Pty Ltd,Company,Legal entity resolved from official terms
ORG-0133,EVEA,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0134,EXIOBASE consortium,Not typed in this review,Exact public label
ORG-0135,EXIOBASE research consortium; current releases distributed on Zenodo,Not typed in this review,Composite public label—review before splitting
ORG-0136,Expanding Circle Ltd (trading as Altruistiq),Company,Legal entity resolved from official company information
ORG-0137,FAO-coordinated expert and institutional community,Not typed in this review,Composite public label—review before splitting
ORG-0138,Federal LCA Commons,Public consortium / community,Actor and role resolved from reviewed public evidence
ORG-0139,Federal University of Technology – Paraná (UTFPR),University / research institution,Actor and role resolved from reviewed public evidence
ORG-0140,FEVE,Not typed in this review,Exact public label
ORG-0141,Fitsol Limited,Company,Legal entity resolved from official terms
ORG-0142,FLCAC administrators; development resources hosted publicly,Not typed in this review,Composite public label—review before splitting
ORG-0143,FOEN/BAFU and commissioned technical partners,Not typed in this review,Composite public label—review before splitting
ORG-0144,Food and Agriculture Organization of the United Nations (FAO) and contributing language institutions,Not typed in this review,Composite public label—review before splitting
ORG-0145,FoodOn open inter-agency community,Not typed in this review,Exact public label
ORG-0146,FoodOntology contributors / OBO Foundry,Not typed in this review,Composite public label—review before splitting
ORG-0147,FOODTURE Horizon Europe consortium,Not typed in this review,Exact public label
ORG-0148,Forest Research Institute Malaysia (FRIM) and Malaysian Timber Industry Board (MTIB),Not typed in this review,Composite public label—review before splitting
ORG-0149,Forum for Sustainability through Life Cycle Innovation e.V.,Not typed in this review,Exact public label
ORG-0150,Framework authors,Not typed in this review,Exact public label
ORG-0151,FRED GmbH,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0152,FSLCI secretariat and member community,Not typed in this review,Composite public label—review before splitting
ORG-0153,Fujitsu Limited,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0154,Fundación InnovaCiclos,Not typed in this review,Exact public label
ORG-0155,Fundación InnovaCiclos / EcoEd,Not typed in this review,Composite public label—review before splitting
ORG-0156,GBDI consortium,Not typed in this review,Exact public label
ORG-0157,GBDI technical community,Not typed in this review,Exact public label
ORG-0158,German Environment Agency,Not typed in this review,Exact public label
ORG-0159,"German Environment Agency (Umweltbundesamt, UBA)",Not typed in this review,Exact public label
ORG-0160,"German Federal Ministry for Housing, Urban Development and Building (BMWSB) / Federal Institute for Research on Building, Urban Affairs and Spatial Development (BBSR)",Not typed in this review,Composite public label—review before splitting
ORG-0161,GFLI Secretariat and data-project partners,Not typed in this review,Composite public label—review before splitting
ORG-0162,GFLI technical and methodology groups,Not typed in this review,Composite public label—review before splitting
ORG-0163,GHG Protocol,Not typed in this review,Exact public label
ORG-0164,GHG Protocol secretariat and multi-stakeholder governance bodies,Not typed in this review,Composite public label—review before splitting
ORG-0165,Global Building Data Initiative,Not typed in this review,Exact public label
ORG-0166,Global Building Data Initiative under GLOBE,Not typed in this review,Exact public label
ORG-0167,Global Climate Changer GmbH,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0168,"Global CO2 Initiative, University of Michigan",Not typed in this review,Exact public label
ORG-0169,Global Feed LCA Institute,Not typed in this review,Exact public label
ORG-0170,Government of Quebec / CIRAIG,Not typed in this review,Composite public label—review before splitting
ORG-0171,Green Gold Label Foundation,Nonprofit / industry organization,Actor and role resolved from reviewed public evidence
ORG-0172,GreenDelta,Not typed in this review,Exact public label
ORG-0173,GreenDelta GmbH,Company,Actor and role resolved from reviewed public evidence
ORG-0174,GreenDelta GmbH / TRIPLELINK,Not typed in this review,Composite public label—review before splitting
ORG-0175,GreenDelta openLCA development team,Not typed in this review,Exact public label
ORG-0176,GreenGrocer consortium,Not typed in this review,Exact public label
ORG-0177,GreenStitch Technologies PVT LTD,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0178,"Hangzhou Qinglvlan Environmental Digital Technology Co., Ltd.",Company,Actor and role resolved from reviewed public evidence
ORG-0179,Helmholtz Centre for Environmental Research (UFZ),Not typed in this review,Exact public label
ORG-0180,HESTIA project / University of Oxford,Not typed in this review,Composite public label—review before splitting
ORG-0181,HESTIA team and contributor community,Not typed in this review,Composite public label—review before splitting
ORG-0182,HESTIA technical team,Not typed in this review,Exact public label
ORG-0183,HiQ Data,Not typed in this review,Exact public label
ORG-0184,Historical format; no active maintenance identified,Not typed in this review,Composite public label—review before splitting
ORG-0185,Horizon Europe consortium,Not typed in this review,Exact public label
ORG-0186,HowGood,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0187,Ibict — Coordenação de Tecnologias Aplicadas a Novos Produtos,Not typed in this review,Exact public label
ORG-0188,ICMQ S.p.A. Società Benefit / EPDItaly,Not typed in this review,Composite public label—review before splitting
ORG-0189,IDTA office and admin-shell-io repository,Not typed in this review,Composite public label—review before splitting
ORG-0190,IINAS,Not typed in this review,Exact public label
ORG-0191,IKE Environmental Technology,Company,Distinct public developer/provider label retained; legal entity suffix not independently normalized
ORG-0192,IKE Environmental Technology / Sichuan University lineage,Not typed in this review,Composite public label—review before splitting
ORG-0193,"IKE Environmental Technology Co., Ltd.",Not typed in this review,Exact public label
ORG-0194,IMPACT World+ method development team,Not typed in this review,Exact public label
ORG-0195,IMPACT World+ scientific consortium,Not typed in this review,Exact public label
ORG-0196,InChI Trust,Not typed in this review,Exact public label
ORG-0197,Industrial Digital Twin Association,Not typed in this review,Exact public label
ORG-0198,INIES governance partners under French public convention,Not typed in this review,Exact public label
