dictionary_id,concept,definition,counting_rule
DD-0001,Asset,"A normalized family-level LCA database, dataset, software, format, schema, platform, method, project, organization, or related resource.",One stable Asset ID per reviewed family; releases and distributions are separate records.
DD-0002,Core database family,A database or dataset family counted in the narrow answer to how many LCA databases have been publicly identified.,"Database Scope.Working count status equals Core working count; a portal, repository or platform is not counted again as a database family merely because it distributes data."
DD-0003,Extended data-bearing asset,"The core database families plus reviewed repositories, platforms and libraries that bear or distribute LCA data but are not themselves counted as additional database families.","Database Scope.Extended data-bearing count equals Yes; use this scope to describe the data-access ecosystem, not as a synonym for the database-family count."
DD-0004,Evidence,A publicly accessed source supporting one or more fields or relationships.,One Evidence ID per registered source record; not a unique-URL count.
DD-0005,Release,A verified public version or lifecycle milestone for an asset.,Milestone record; intervening releases may exist.
DD-0006,Distribution,"A specific data package or access route connecting a database release, schema/profile, and consuming software.",One Distribution ID per reviewed package/route statement.
DD-0007,Aligned schema/profile,"A reviewed canonical label and broader family assigned to equivalent public schema, profile, package, or software-native exchange labels.",Merge only curated synonyms; preserve every source label in schema_profile_original and keep compound or version-specific profiles distinct.
DD-0008,Relationship assertion,"A directed, evidence-bearing claim between a source and target asset.","Retain direction, status, constraints, and validation question."
DD-0009,Mapping artifact,An implemented or studied mapping/conversion between named source and target formats or schemas.,"Must identify source, target, direction, project/tool, and claimed or tested status."
DD-0010,Mapping endpoint,"The specific schema, exchange format, software importer, software-internal model, workflow or reference list at one end of a mapping artifact.","Align synonyms within the same endpoint kind, retain the original label, and never merge a software product with its schema merely because they share a brand name."
DD-0011,Version audit,A dated recheck of every database-scope canonical route and its current-version evidence.,"Separate explicit public updates, retained evidence-linked values, exact versions that remain unconfirmed, and routes whose automated check was unresolved."
DD-0012,Open data,Data whose public licence permits reuse under stated conditions.,Do not infer from zero price or public download alone.
DD-0013,Open-source software,Software whose source code is released under an open-source licence.,Assess separately from data-access rights.
DD-0014,Compatibility claim,"A statement that a tool can import, export, or otherwise use a format or package.","Record direction, versions, evidence, and claimed/tested status."
DD-0015,Evidence cutoff,The latest date included in a versioned review package.,All counts and conclusions must display the cutoff.
DD-0016,Confidence level,An assessment of public evidence strength for a reviewed asset record.,It does not rate the quality of the asset itself.
DD-0017,Lead,"A questionnaire, stakeholder-list, or search result that may point to an asset but is not yet a verified asset record.",Leads are not included in verified asset counts until publicly substantiated and deduplicated.
DD-0018,PCF/LCA software product,"A named software product that publicly states it performs life cycle assessment, calculates product carbon footprints, or directly implements standardized PCF exchange.","Count one reviewed product family once; do not include a general corporate-only accounting platform, consultancy, or service listing without an explicit qualifying product function."
DD-0019,Software product type,"How a reviewed PCF/LCA product is delivered or used, such as an application/platform, sector workflow, interoperability service, or API/library/model.","Assign one product type independently of its functions, sector, standards, and provider identity."
DD-0020,Software primary function,One aligned headline function for a PCF/LCA software product; LCA and PCF modelling are grouped as one modelling/calculation function.,Assign one controlled primary function and retain finer distinctions as multi-valued functional capabilities.
DD-0021,Software functional capability,"An evidence-linked function a product can perform, using aligned labels while retaining source wording separately.","A product may have several capabilities; do not mix capabilities with product type, sector, or standard/network association."
DD-0022,Standard or network association,"Evidence that a software product is listed by or states compatibility with a standard, network, or authoritative directory.","Treat WBCSD PACT association as interoperability evidence and provenance, not as a software category, calculation function, or quality rating."
DD-0023,Software company role,"A public evidence-linked relationship between a software product and a company, institution, public body, community, or publicly credited individual acting as owner, developer, or operator/maintainer.",Create only roles supported by public evidence; never copy one role into another or use an unresolved product name as the actor. Missing roles remain absent and unresolved labels are retained in software_role_gaps.
DD-0024,Software candidate review,"A listing encountered in a documented software discovery stream and assigned a promotion, existing-match, or exclusion decision.",Candidate appearances are not asset counts; deduplicate across directories before promotion and retain exclusions with a reason.
