alignment_id,schema_profile_original,schema_profile,schema_profile_class,alignment_method,distribution_count
SPA-0001,Athena proprietary embedded model,Athena embedded model,Athena,Curated synonym alignment,3
SPA-0002,Brightway data package,Brightway data package,Brightway,Curated canonical label,1
SPA-0003,CLCD native model; current public provider page does not state the schema revision,CLCD native model,CLCD,Curated synonym alignment,1
SPA-0004,CSV,CSV,Tabular / matrix,Original label retained; curated class assigned,5
SPA-0005,CSV / XLSX,CSV + Excel workbook,Tabular / matrix,Curated synonym alignment,1
SPA-0006,XLS / CSV,CSV + Excel workbook,Tabular / matrix,Curated synonym alignment,1
SPA-0007,EcoSpold 1 XML,ecoSpold 1,ecoSpold family,Curated synonym alignment,1
SPA-0008,EcoSpold v1 XML,ecoSpold 1,ecoSpold family,Curated synonym alignment,2
SPA-0009,ecoinvent / ecoSpold2 data model,ecoSpold2,ecoSpold family,Curated synonym alignment,1
SPA-0010,ecoSpold2 data model,ecoSpold2,ecoSpold family,Curated synonym alignment,1
SPA-0011,ecoSpold2 XML,ecoSpold2,ecoSpold family,Curated synonym alignment,1
SPA-0012,ecoSpold2 and ILCD,ecoSpold2 and ILCD,ILCD family,Original label retained; curated class assigned,1
SPA-0013,EIME proprietary database model,EIME database model,EIME,Curated synonym alignment,1
SPA-0014,ILCD XML in ZIP; EF profile,Environmental Footprint ILCD profile,Environmental Footprint,Curated synonym alignment,1
SPA-0015,XLSX,Excel workbook (XLSX),Tabular / matrix,Curated synonym alignment,6
SPA-0016,XLSX tabular workbook,Excel workbook (XLSX),Tabular / matrix,Curated synonym alignment,2
SPA-0017,Format on request,Format on request,Unconfirmed,Original label retained; curated class assigned,1
SPA-0018,GaBi-modelled inventory; no public exchange schema stated,GaBi-modelled inventory; no public exchange schema stated,Sphera / GaBi family,Original label retained; curated class assigned,1
SPA-0019,Native GEMIS relational/process-chain model,GEMIS native model,GEMIS,Curated synonym alignment,1
SPA-0020,HESTIA API / JSON-LD,HESTIA JSON-LD,HESTIA,Curated synonym alignment,1
SPA-0021,JSON-LD / HESTIA schema,HESTIA JSON-LD,HESTIA,Curated synonym alignment,1
SPA-0022,Host-database-specific,Host-database-specific,Software-native / proprietary,Original label retained; curated class assigned,1
SPA-0023,IA98,IA98,IA98,Curated canonical label,1
SPA-0024,Member portal; linked JLCA–IDEA model,IDEA member-portal model,IDEA,Curated synonym alignment,1
SPA-0025,ILCD,ILCD,ILCD family,Curated canonical label,3
SPA-0026,ILCD data model,ILCD,ILCD family,Curated synonym alignment,4
SPA-0027,ILCD XML,ILCD,ILCD family,Curated synonym alignment,1
SPA-0028,ILCD XML in ZIP,ILCD,ILCD family,Curated synonym alignment,1
SPA-0029,ILCD XML in ZIP package,ILCD,ILCD family,Curated synonym alignment,1
SPA-0030,ILCD / eILCD node package,ILCD / eILCD,ILCD family,Curated synonym alignment,1
SPA-0031,ILCD / eILCD-compatible XML,ILCD / eILCD,ILCD family,Curated synonym alignment,1
SPA-0032,ILCD-style node/package,ILCD / soda4LCA package,ILCD family,Curated synonym alignment,1
SPA-0033,soda4LCA / ILCD-style XML package,ILCD / soda4LCA package,ILCD family,Curated synonym alignment,1
SPA-0034,ILCD network service,ILCD network service,ILCD family,Original label retained; curated class assigned,1
SPA-0035,ILCD-aligned provider data model; export format not public,ILCD-aligned provider data model; export format not public,ILCD family,Original label retained; curated class assigned,1
SPA-0036,ILCD+EPD XML,ILCD+EPD,ILCD+EPD,Curated synonym alignment,1
SPA-0037,INIES predefined digital webservice; XML/CSV exchanges are documented,INIES digital exchange,INIES,Curated synonym alignment,1
SPA-0038,ISO/TS 14048-compatible / ILCD,ISO/TS 14048-compatible / ILCD,ILCD family,Original label retained; curated class assigned,1
SPA-0039,LCADesign-specific package,LCADesign package,LCADesign,Curated synonym alignment,1
SPA-0040,Not publicly confirmed,Not publicly confirmed,Unconfirmed,Curated canonical label,16
SPA-0041,openEPD,openEPD,openEPD,Curated canonical label,1
SPA-0042,openLCA database package,openLCA database package,openLCA family,Curated canonical label,46
SPA-0043,ZOLCA,openLCA database package,openLCA family,Curated synonym alignment,1
SPA-0044,openLCA JSON-LD,openLCA JSON-LD,openLCA family,Original label retained; curated class assigned,4
