evidence_id,asset_id,source_title,publisher_maintainer,url_or_file,source_type,access_date,supported_fields,evidence_excerpt,source_reliability,access_restriction,publicly_accessed,notes
E-0001,LCA-DB-0001,Database,ecoinvent Association,https://ecoinvent.org/database/,Official product page,2026-08-22,identity; maintenance; access; licence,The provider states annual updates and licence-based access to the database.,Primary / high,Full database restricted,Yes,Public metadata only
E-0002,LCA-DB-0001,ecoinvent Version 3.12,ecoinvent Association,https://support.ecoinvent.org/ecoinvent-version-3.12,Official release page,2026-08-22,version; release date; sectors,Version 3.12 was released 5 November 2025 with multi-sector updates and supporting reports.,Primary / high,Some detailed files restricted,Yes,No login used
E-0003,LCA-FMT-0001,ecoSpold2,ecoinvent Association,https://support.ecoinvent.org/ecospold2,Official technical page,2026-08-22,format; schema; identifiers; relations,"The XML format covers UPR, LCI and LCIA and publishes XSD, XSL and documentation.",Primary / high,None observed for documentation,Yes,
E-0004,LCA-SW-0001,SimaPro desktop edition,SimaPro,https://simapro.com/software/desktop/,Official product page,2026-08-22,identity; users; features; languages; data relations,"The provider describes commercial desktop LCA software, advanced analysis and included LCI libraries.",Primary / high,Software requires licence,Yes,Metadata only
E-0005,LCA-SW-0001,Release notes — SimaPro desktop,SimaPro,https://support.simapro.com/en/articles/504757-release-notes-simapro-desktop,Official release notes,2026-08-22,version; date; maintenance; authentication,SimaPro 10.5 was released 30 June 2026; current releases use integrated login.,Primary / high,Software access restricted,Yes,
E-0006,LCA-SW-0002,Brightway LCA Software Framework,Brightway developers,https://docs.brightway.dev/en/latest/,Official documentation,2026-08-22,identity; access; technology; use cases,Brightway is described as open-source Python LCA software for large datasets and fast calculations.,Primary / high,None observed,Yes,
E-0007,LCA-SW-0003,About openLCA,GreenDelta GmbH,https://www.openlca.org/about/,Official product page,2026-08-22,licence; owner; access,openLCA is free and licensed under MPL 2.0 for code written by GreenDelta.,Primary / high,Database rights vary,Yes,
E-0008,LCA-SW-0003,openLCA Features,GreenDelta GmbH,https://www.openlca.org/features/,Official technical page,2026-08-22,formats; API; validation; features,"The page lists ILCD, JSON-LD, EcoSpold 1, zolca, REST/gRPC and database validation.",Primary / high,None for documentation,Yes,
E-0009,LCA-REP-0001,About openLCA Nexus,GreenDelta GmbH,https://nexus.openlca.org/about,Official repository page,2026-08-22,identity; access; harmonization; relations,Nexus offers free and commercial datasets; free downloads require registration and packages use shared references.,Primary / high,Registration or purchase for downloads,Yes,Metadata only
E-0010,LCA-NET-0001,Global LCA Data Access network,Life Cycle Initiative,https://www.lifecycleinitiative.org/activities/life-cycle-assessment-in-high-impact-sectors/global-life-cycle-assessment-data-access-network-glad/,Official project page,2026-08-22,identity; scope; governance; services,GLAD is a distributed network offering dataset search with agreed metadata and conversion for access.,Primary / high,Node conditions vary,Yes,
E-0011,LCA-NET-0002,LCDN Developer tools,European Commission JRC,https://eplca.jrc.ec.europa.eu/LCDN/developerILCDDataFormat.html,Official technical page,2026-08-22,identity; launch; tools; schema,LCDN launched in 2014 and supports publication of quality-assured LCI and LCIA datasets.,Primary / high,None observed,Yes,
E-0012,LCA-FMT-0002,LCDN Developer tools,European Commission JRC,https://eplca.jrc.ec.europa.eu/LCDN/developerILCDDataFormat.html,Official technical page,2026-08-22,format; schema; SDK; version,"The page provides eILCD SDK 2.1.1, schemas, samples and a life cycle model dataset type.",Primary / high,None observed,Yes,
E-0013,LCA-REP-0002,Welcome to the Federal LCA Commons,USDA National Agricultural Library,https://www.lcacommons.gov/,Official portal,2026-08-22,identity; operators; releases; API restriction,The portal is a central point for federal LCA repositories and shows active 2026 releases.,Primary / high,API key required; website public,Yes,No API key requested
E-0014,LCA-REP-0002,FLCAC Resources,USDA National Agricultural Library,https://www.lcacommons.gov/flcac-resources,Official documentation hub,2026-08-22,relations; FEDEFL; platform technology,"The hub links USLCI, FEDEFL, openLCA schema and Collaboration Server resources.",Primary / high,None observed,Yes,
E-0015,LCA-DB-0002,USLCI Database Public,National Laboratory of the Rockies,https://www.lcacommons.gov/lca-collaboration/National_Renewable_Energy_Laboratory/USLCI_Database_Public/datasets,Official repository,2026-08-22,identity; history; coverage; format,The repository describes more than 600 process LCIs and public JSON-LD download options.,Primary / high,None observed for browsing,Yes,
E-0016,LCA-NOM-0001,FLCAC Resources — FEDEFL,USDA National Agricultural Library,https://www.lcacommons.gov/flcac-resources,Official documentation hub,2026-08-22,identity; purpose; mappings,FEDEFL is identified as the standardized elementary-flow list supporting FLCAC data harmonization.,Primary / high,None observed,Yes,
E-0017,LCA-MTH-0001,GLAM — Global Guidance for LCIA Indicators and Methods,Life Cycle Initiative,https://www.lifecycleinitiative.org/activities/life-cycle-assessment-data-and-methods/global-guidance-for-life-cycle-impact-assessment-indicators-and-methods-glam/,Official method page,2026-08-22,identity; version; scope; governance; relation,GLAM 1.0.2024.10 is a consensus LCIA method with public files and GLAD nomenclature linkage.,Primary / high,None observed,Yes,
E-0018,LCA-STD-0001,ISO 14044:2006,International Organization for Standardization,https://www.iso.org/standard/38498.html,Official standards catalogue,2026-08-22,identity; scope; status; amendments; access,"ISO confirms the standard's LCA scope, published status and two amendments; full text is paid.",Primary / high,Full text paid,Yes,Metadata and abstract only
EVD-0019,LCA-DB-0003,Agri-footprint product and methodology page,Mérieux NutriSciences | Blonk,https://blonksustainability.nl/tools-and-databases/agri-footprint,Official product page,2026-08-22,Identity; owner; version; scope; formats; licence; methodology,"Version 7 is described with 4,800+ datasets, 63+ countries, structured formats, public methodology and annual commercial licence types.",A — owner/maintainer official page,Underlying database requires a licence,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0020,LCA-DB-0004,AGRIBALYSE data access and terms,ADEME,https://doc.agribalyse.fr/documentation-en/agribalyse-data/data-access,Official programme documentation,2026-08-22,Identity; owner; scope; version; access; formats; software compatibility,"Official documentation describes simplified public results, full LCI data in LCA software, version 3.2 implementation and ecoinvent-related conditions.",A — owner/maintainer official page,Full disaggregated LCI use can require ecoinvent and software rights,Yes,"No registration, login, purchase or restricted-content download was used."
EVD-0021,LCA-DB-0005,FOEN economy and consumption studies — BAFU:2025 resources,Swiss Federal Office for the Environment,https://www.bafu.admin.ch/en/studies-economy-and-consumption,Government programme page,2026-08-22,Identity; owner; version; release; QA documentation,The official page lists BAFU20XY data-quality requirements and 2025 inventory update reports; FOEN publications cite the BAFU:2025 database released in December 2025.,B — government official page,Nexus registration is required for package download,Yes,"No registration, login, purchase or restricted-content download was used."
